margin,angle,iters,converged,fallback,cos_vk,alpha_vk,relL2_vk,cos_vk_blur,cos_lin,alpha_lin,pv_fem,pv_ref,seconds
0.02,10,23,1,0,0.9633,1.1927,0.2685,0.9798,0.9533,0.5983,5.833,6.926,28.6
0.02,30,18,1,0,0.9626,0.6346,0.2710,0.9793,0.9533,0.3388,5.465,3.467,21.8
0.02,58,20,1,0,-0.9530,-0.3793,0.3031,-0.9693,-0.9509,-0.2524,4.166,1.834,24.5
0.02,80,9,1,0,-0.8317,-0.4012,0.5552,-0.8655,-0.8332,-0.3646,1.886,1.099,10.8
0.04,10,23,1,0,0.9487,1.1875,0.3161,0.9739,0.9388,0.6426,5.300,6.050,38.4
0.04,14,17,1,0,0.9487,1.1158,0.3163,0.9739,0.9388,0.6079,5.259,5.644,29.2
0.04,18,15,1,0,0.9486,1.0222,0.3166,0.9738,0.9389,0.5622,5.204,5.120,29.9
0.04,22,17,1,0,0.9484,0.9088,0.3169,0.9737,0.9389,0.5058,5.135,4.495,28.9
0.04,26,23,1,0,0.9483,0.7777,0.3174,0.9736,0.9389,0.4391,5.051,3.787,38.7
0.04,30,24,1,0,0.9481,0.6315,0.3179,0.9735,0.9389,0.3626,4.951,3.018,40.7
0.04,34,20,1,0,0.9479,0.4731,0.3185,0.9734,0.9390,0.2770,4.835,2.211,41.8
0.04,38,20,1,0,0.9479,0.3049,0.3185,0.9734,0.9393,0.1826,4.702,1.374,38.6
0.04,42,17,1,0,0.9468,0.0982,0.3219,0.9688,0.9416,0.0605,4.550,0.510,31.1
0.04,46,14,1,0,-0.9504,-0.0290,0.3112,-0.9747,-0.9474,-0.0184,4.379,0.138,23.9
0.04,50,17,1,0,-0.9502,-0.1432,0.3117,-0.9745,-0.9474,-0.0939,4.185,0.655,30.7
0.04,54,17,1,0,-0.9499,-0.2523,0.3125,-0.9742,-0.9474,-0.1714,3.968,1.097,31.4
0.04,58,17,1,0,-0.9496,-0.3539,0.3136,-0.9738,-0.9472,-0.2500,3.722,1.451,32.5
0.04,62,12,1,0,-0.8994,-0.2968,0.4371,-0.9354,-0.9015,-0.2197,3.445,1.253,22.4
0.04,66,12,1,0,-0.8986,-0.3468,0.4388,-0.9344,-0.9004,-0.2688,3.131,1.335,22.6
0.04,70,12,1,0,-0.8476,-0.3120,0.5306,-0.8897,-0.8501,-0.2545,2.772,1.103,20.3
0.04,73,11,1,0,-0.8313,-0.3061,0.5559,-0.8741,-0.8333,-0.2595,2.470,0.981,18.8
0.04,76,9,1,0,-0.8310,-0.3173,0.5563,-0.8735,-0.8325,-0.2799,2.133,0.879,16.0
0.04,78,9,1,0,-0.8309,-0.3221,0.5565,-0.8732,-0.8321,-0.2916,1.886,0.788,16.1
0.04,80,8,1,0,-0.8308,-0.3251,0.5566,-0.8729,-0.8317,-0.3018,1.619,0.683,13.8
0.06,10,29,1,0,0.9396,1.0940,0.3423,0.9691,0.9397,0.6769,6.013,6.245,57.4
0.06,14,21,1,0,0.9451,0.9513,0.3267,0.9719,0.9443,0.5915,5.964,5.220,38.2
0.06,18,28,1,0,0.9450,0.8711,0.3272,0.9718,0.9441,0.5461,5.897,4.720,50.0
0.06,22,17,1,0,0.9447,0.7741,0.3278,0.9716,0.9439,0.4903,5.811,4.127,29.1
0.06,26,26,1,0,0.9445,0.6620,0.3286,0.9714,0.9437,0.4245,5.706,3.461,45.0
0.06,30,17,1,0,0.9441,0.5371,0.3295,0.9712,0.9434,0.3495,5.582,2.742,30.8
0.06,34,18,1,0,0.9438,0.4020,0.3306,0.9709,0.9431,0.2661,5.438,1.996,31.4
0.06,38,17,1,0,0.9390,0.2570,0.3439,0.9672,0.9410,0.1739,5.272,1.250,30.0
0.06,42,26,1,0,0.9303,0.1002,0.3668,0.9555,0.9315,0.0693,5.084,0.519,48.8
0.06,46,20,1,0,-0.9435,-0.0297,0.3313,-0.9699,-0.9467,-0.0211,4.872,0.139,36.5
0.06,50,15,1,0,-0.9432,-0.1473,0.3323,-0.9695,-0.9461,-0.1073,4.635,0.651,27.8
0.06,54,17,1,0,-0.9292,-0.2059,0.3696,-0.9584,-0.9317,-0.1543,4.369,0.907,29.6
0.06,58,14,1,0,-0.9282,-0.2878,0.3722,-0.9572,-0.9304,-0.2228,4.072,1.193,26.0
0.06,62,13,1,0,-0.9013,-0.2961,0.4331,-0.9374,-0.9043,-0.2375,3.741,1.167,24.3
0.06,66,14,1,0,-0.8661,-0.2971,0.4999,-0.9082,-0.8684,-0.2472,3.369,1.086,24.6
0.06,70,18,1,0,-0.8356,-0.2926,0.5493,-0.8816,-0.8374,-0.2531,2.952,1.001,32.7
0.06,73,14,1,0,-0.8224,-0.2958,0.5689,-0.8692,-0.8235,-0.2635,2.606,0.871,25.6
0.06,76,9,1,0,-0.8208,-0.3083,0.5712,-0.8671,-0.8217,-0.2829,2.226,0.781,17.2
0.06,78,8,1,0,-0.8200,-0.3145,0.5724,-0.8659,-0.8207,-0.2941,1.953,0.700,14.9
0.06,80,8,1,0,-0.8192,-0.3190,0.5735,-0.8648,-0.8198,-0.3038,1.663,0.607,14.3
