margin,angle,iters,converged,fallback,cos_vk,alpha_vk,relL2_vk,cos_vk_blur,cos_lin,alpha_lin,pv_fem,pv_ref,seconds
0.02,10,23,1,0,0.9633,1.2683,0.2683,0.9799,0.9533,0.6362,5.833,7.348,27.2
0.02,14,18,1,0,0.9633,1.2684,0.2686,0.9798,0.9533,0.6409,5.790,7.299,27.5
0.02,18,20,1,0,0.9631,1.2684,0.2690,0.9797,0.9533,0.6472,5.732,7.232,31.2
0.02,22,21,1,0,0.9630,1.2685,0.2695,0.9796,0.9533,0.6553,5.659,7.148,34.5
0.02,26,22,1,0,0.9628,1.2687,0.2701,0.9795,0.9533,0.6653,5.571,7.046,27.4
0.02,30,18,1,0,0.9626,1.2688,0.2709,0.9793,0.9533,0.6773,5.465,6.924,22.2
0.02,34,17,1,0,0.9624,1.2690,0.2718,0.9791,0.9533,0.6915,5.343,6.783,22.4
0.02,38,17,1,0,0.9621,1.2693,0.2729,0.9788,0.9533,0.7082,5.203,6.621,22.6
0.02,42,18,1,0,0.9658,1.0685,0.2595,0.9812,0.9605,0.6145,5.043,5.718,23.9
0.02,46,17,1,0,0.9654,1.0660,0.2608,0.9808,0.9604,0.6319,4.861,5.520,22.6
0.02,50,23,1,0,0.9650,1.0630,0.2624,0.9804,0.9603,0.6518,4.657,5.297,30.8
0.02,54,25,1,0,0.9540,0.8730,0.2999,0.9703,0.9516,0.5571,4.426,4.452,32.9
0.02,58,17,1,0,0.9530,0.8654,0.3031,0.9694,0.9509,0.5759,4.166,4.185,22.4
0.02,62,14,1,0,0.9302,0.7126,0.3671,0.9520,0.9310,0.4981,3.872,3.414,18.4
0.02,66,15,1,0,0.8971,0.6013,0.4418,0.9238,0.8992,0.4429,3.537,2.771,19.6
0.02,70,12,1,0,0.8684,0.5258,0.4959,0.8996,0.8711,0.4099,3.151,2.226,16.0
0.02,73,14,1,0,0.8375,0.4567,0.5465,0.8720,0.8400,0.3723,2.825,1.835,18.3
0.02,76,11,1,0,0.8341,0.4424,0.5516,0.8684,0.8362,0.3777,2.457,1.563,14.6
0.02,78,11,1,0,0.8329,0.4347,0.5534,0.8670,0.8347,0.3830,2.184,1.373,15.0
0.02,80,9,1,0,0.8318,0.4270,0.5551,0.8655,0.8332,0.3880,1.886,1.170,11.9
0.04,10,23,1,0,0.9487,1.2637,0.3161,0.9739,0.9388,0.6837,5.300,6.437,41.1
0.04,14,17,1,0,0.9487,1.2636,0.3163,0.9739,0.9388,0.6885,5.259,6.390,29.1
0.04,18,15,1,0,0.9486,1.2635,0.3166,0.9738,0.9389,0.6949,5.204,6.327,21.6
0.04,22,17,1,0,0.9484,1.2633,0.3169,0.9737,0.9389,0.7031,5.135,6.247,24.7
0.04,26,23,1,0,0.9483,1.2631,0.3174,0.9736,0.9389,0.7131,5.051,6.150,33.1
0.04,30,24,1,0,0.9481,1.2629,0.3179,0.9735,0.9389,0.7252,4.951,6.034,34.8
0.04,34,20,1,0,0.9479,1.2627,0.3185,0.9734,0.9390,0.7394,4.835,5.900,28.7
0.04,38,20,1,0,0.9479,1.2600,0.3185,0.9734,0.9393,0.7547,4.702,5.676,28.7
0.04,42,17,1,0,0.9468,0.9389,0.3218,0.9688,0.9416,0.5787,4.550,4.875,24.5
0.04,46,14,1,0,0.9504,0.8318,0.3111,0.9747,0.9475,0.5287,4.379,3.967,20.1
0.04,50,17,1,0,0.9502,0.8248,0.3117,0.9745,0.9474,0.5411,4.185,3.772,24.6
0.04,54,17,1,0,0.9499,0.8166,0.3125,0.9742,0.9474,0.5549,3.968,3.553,25.8
0.04,58,17,1,0,0.9496,0.8070,0.3135,0.9739,0.9473,0.5700,3.722,3.307,25.0
0.04,62,12,1,0,0.8994,0.5308,0.4370,0.9354,0.9015,0.3930,3.445,2.241,18.1
0.04,66,12,1,0,0.8986,0.5184,0.4388,0.9344,0.9004,0.4019,3.131,1.996,18.2
0.04,70,12,1,0,0.8477,0.4074,0.5306,0.8897,0.8501,0.3322,2.772,1.440,17.6
0.04,73,11,1,0,0.8313,0.3693,0.5559,0.8741,0.8333,0.3131,2.470,1.184,16.2
0.04,76,9,1,0,0.8310,0.3592,0.5562,0.8736,0.8326,0.3169,2.133,0.995,13.2
0.04,78,9,1,0,0.8309,0.3525,0.5564,0.8733,0.8322,0.3192,1.886,0.863,13.2
0.04,80,8,1,0,0.8308,0.3459,0.5566,0.8730,0.8317,0.3212,1.619,0.726,11.7
0.06,10,29,1,0,0.9396,1.1642,0.3423,0.9691,0.9397,0.7203,6.013,6.644,42.4
0.06,14,21,1,0,0.9452,1.0758,0.3265,0.9720,0.9443,0.6689,5.964,5.888,30.7
0.06,18,28,1,0,0.9450,1.0754,0.3270,0.9719,0.9442,0.6742,5.897,5.813,41.0
0.06,22,17,1,0,0.9448,1.0748,0.3277,0.9717,0.9440,0.6808,5.811,5.719,24.8
0.06,26,26,1,0,0.9445,1.0742,0.3285,0.9715,0.9437,0.6889,5.706,5.606,38.1
0.06,30,17,1,0,0.9442,1.0734,0.3295,0.9712,0.9434,0.6985,5.582,5.472,25.3
0.06,34,18,1,0,0.9438,1.0725,0.3306,0.9709,0.9431,0.7098,5.438,5.317,28.4
0.06,38,17,1,0,0.9390,1.0617,0.3439,0.9672,0.9410,0.7184,5.272,5.158,26.6
0.06,42,26,1,0,0.9303,0.9582,0.3668,0.9555,0.9316,0.6620,5.084,4.961,40.3
0.06,46,20,1,0,0.9436,0.8544,0.3311,0.9699,0.9467,0.6059,4.872,3.991,29.4
0.06,50,15,1,0,0.9432,0.8489,0.3323,0.9695,0.9461,0.6182,4.635,3.750,22.0
0.06,54,17,1,0,0.9293,0.6662,0.3693,0.9585,0.9318,0.4994,4.369,2.932,24.9
0.06,58,14,1,0,0.9282,0.6566,0.3721,0.9573,0.9305,0.5082,4.072,2.719,20.6
0.06,62,13,1,0,0.9014,0.5296,0.4330,0.9375,0.9043,0.4248,3.741,2.088,19.1
0.06,66,14,1,0,0.8661,0.4442,0.4998,0.9083,0.8684,0.3696,3.369,1.624,20.6
0.06,70,18,1,0,0.8356,0.3820,0.5493,0.8816,0.8374,0.3304,2.952,1.307,26.3
0.06,73,14,1,0,0.8224,0.3568,0.5689,0.8692,0.8236,0.3179,2.606,1.051,21.4
0.06,76,9,1,0,0.8210,0.3492,0.5710,0.8672,0.8218,0.3204,2.226,0.883,13.1
0.06,78,8,1,0,0.8201,0.3442,0.5723,0.8660,0.8208,0.3219,1.953,0.766,11.7
0.06,80,8,1,0,0.8193,0.3395,0.5734,0.8648,0.8198,0.3233,1.663,0.645,11.6
