margin,mirror,init_s95,best_s95,reduction_pct
0.08,North,52.591,51.1416,2.76
0.08,East,91.1589,89.5348,1.78
0.08,South,110.6088,107.0347,3.23
0.08,West,91.4936,89.7648,1.89
0.06,North,52.6463,50.5172,4.04
0.06,East,71.808,71.5301,0.39
0.06,South,81.7054,81.327,0.46
0.06,West,72.0947,71.7775,0.44
0.05,North,228.6658,51.2915,77.57
0.05,East,216.7761,69.4665,67.95
0.05,South,197.9637,77.8446,60.68
0.05,West,217.1953,69.4971,68.0
0.04,North,232.3448,51.779,77.71
0.04,East,212.5354,69.0488,67.51
0.04,South,187.3284,75.3124,59.8
0.04,West,213.0142,68.7767,67.71
0.03,North,232.9181,52.0031,77.67
0.03,East,214.1784,69.5611,67.52
0.03,South,189.0559,75.4724,60.08
0.03,West,214.6092,69.5116,67.61
