margin,mirror,init_s95,best_s95,reduction_pct
0.08,North,119.2168,91.7614,23.03
0.08,East,141.9629,123.8985,12.72
0.08,South,162.1622,141.5627,12.7
0.08,West,143.5623,123.9261,13.68
0.06,North,257.8587,59.2198,77.03
0.06,East,252.1263,79.6418,68.41
0.06,South,240.4434,90.0093,62.57
0.06,West,253.2411,80.0202,68.4
0.05,North,224.1166,56.9481,74.59
0.05,East,215.3848,74.9995,65.18
0.05,South,200.8204,83.9044,58.22
0.05,West,216.2319,75.4812,65.09
0.04,North,201.4898,52.6492,73.87
0.04,East,194.4433,71.824,63.06
0.04,South,180.3314,80.6562,55.27
0.04,West,195.1491,71.6727,63.27
0.03,North,203.584,54.7798,73.09
0.03,East,198.2023,74.381,62.47
0.03,South,185.3929,83.2233,55.11
0.03,West,198.9518,74.0827,62.76
