# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: East_300m
# idx  h_pipe(m)
0 0.03501340
1 0.02216698
2 0.01600666
3 0.01288205
4 0.01508035
5 0.02041058
6 0.03218650
7 0.02318085
8 0.01189048
9 0.00556548
10 0.00291461
11 0.00511597
12 0.01101744
13 0.02184823
14 0.02013219
15 0.00868771
16 0.00245003
17 0.00007035
18 0.00245003
19 0.00868771
20 0.02013219
21 0.02184823
22 0.01101744
23 0.00511597
24 0.00291461
25 0.00556548
26 0.01189048
27 0.02318085
28 0.03218650
29 0.02041058
30 0.01508035
31 0.01288205
32 0.01600666
33 0.02216698
34 0.03501340
