# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: North_1200m
# idx  h_pipe(m)
0 0.00977040
1 0.00603105
2 0.00428202
3 0.00347175
4 0.00427908
5 0.00602547
6 0.00976142
7 0.00676159
8 0.00338088
9 0.00153070
10 0.00078621
11 0.00152927
12 0.00337811
13 0.00675736
14 0.00611859
15 0.00262455
16 0.00073935
17 0.00000832
18 0.00073935
19 0.00262455
20 0.00611859
21 0.00675736
22 0.00337811
23 0.00152927
24 0.00078621
25 0.00153070
26 0.00338088
27 0.00676159
28 0.00976142
29 0.00602547
30 0.00427908
31 0.00347175
32 0.00428202
33 0.00603105
34 0.00977040
