# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: West_300m
# idx  h_pipe(m)
0 0.03167452
1 0.02018619
2 0.01500281
3 0.01288925
4 0.01598794
5 0.02205411
6 0.03468091
7 0.02138922
8 0.01081453
9 0.00504843
10 0.00291580
11 0.00552648
12 0.01174300
13 0.02280645
14 0.01971343
15 0.00851682
16 0.00240234
17 0.00007699
18 0.00240234
19 0.00851682
20 0.01971343
21 0.02280645
22 0.01174300
23 0.00552648
24 0.00291580
25 0.00504843
26 0.01081453
27 0.02138922
28 0.03468091
29 0.02205411
30 0.01598794
31 0.01288925
32 0.01500281
33 0.02018619
34 0.03167452
