name,direction,distance,cx,cy,cxy,sag_pv_mm,sag_rms_mm,bolt_min_mm,bolt_max_mm,bolt_pv_mm,residual_rms_mm,residual_max_mm,r2
North_150m,North,150.0,0.001074,0.001118,7e-07,64.91975694169923,27.565847595466156,0.01975238920172496,50.604104600448984,50.584352211247264,0.6056446797026285,3.629956410461495,0.9983942839276334
East_150m,East,150.0,0.001054,0.001133,8.3e-05,66.80627584277345,27.35295252996465,0.036343897836611634,52.091505508049046,52.05516161021243,0.6023493573906296,3.8299206980805662,0.9983819337030645
South_150m,South,150.0,0.000964,0.001222,6e-07,62.84321434511719,26.523572277167908,0.1211852565760374,48.97697284825918,48.855787591683146,0.5925859287308377,3.586123673010096,0.9982910349744301
West_150m,West,150.0,0.001067,0.001149,-8.1e-05,67.58648941113282,27.7057083181455,0.03775122766156884,52.699130048344955,52.66137882068339,0.6101345722859617,3.872346279618133,0.9983811303906891
North_300m,North,300.0,0.000691,0.000771,3e-07,42.84628929755859,18.151981098341437,0.03718246813028978,33.3960829557787,33.35890048764841,0.4002833506947036,2.412683015448225,0.9983643313207771
East_300m,East,300.0,0.000671,0.000821,6.3e-05,44.906810088867196,18.228654057308965,0.07034536959213294,35.01340490075708,34.94305953116494,0.40590546251512916,2.6142832102118914,0.9983149862754227
South_300m,South,300.0,0.000583,0.000918,3e-07,41.749878992871096,17.551780614080204,0.15802552694946184,32.53138406293589,32.373358535986426,0.4083498052111923,2.4372928929954005,0.9981100364566141
West_300m,West,300.0,0.000657,0.000821,-6.7e-05,44.47983620214845,17.991522778116646,0.07698800778979102,34.680908347262324,34.60392033947254,0.4017263769807199,2.599256066586307,0.998301907822643
North_600m,North,600.0,0.000398,0.000434,5e-07,24.47685684228516,10.373604337205869,0.016644556601568983,19.078679372648644,19.06203481604707,0.2284182411245457,1.3753699858865647,0.9983749858518361
East_600m,East,600.0,0.00038,0.000459,9.4e-05,26.969135044921877,10.311816366279896,0.03702180058735496,21.040440560957133,21.003418760369776,0.23080770435755105,1.6230666364291138,0.9983294450111366
South_600m,South,600.0,0.000367,0.000559,4e-07,25.892439612890627,10.887172382649394,0.09053680127592421,20.17598105213323,20.085444250857307,0.2513795480821807,1.506482678622318,0.9981423123301978
West_600m,West,600.0,0.000382,0.000459,-9.7e-05,27.131909317382814,10.348694859175584,0.036072852274829086,21.168067633654452,21.13199478137962,0.23160592364009422,1.6344893221594374,0.9983328990739673
North_900m,North,900.0,0.000269,0.000311,1e-07,16.90642569814453,7.154670825841489,0.019615113766114925,13.177118453978217,13.157503340212102,0.1582172851392781,0.9554901234465514,0.998346344719746
East_900m,East,900.0,0.000291,0.00036,6.6e-05,20.660105056640624,7.961115967030955,0.03237663227115919,16.116676944433916,16.084300312162757,0.17844120736884986,1.2401489867999298,0.9983137775939805
South_900m,South,900.0,0.000308,0.000482,2e-07,21.995326865039065,9.247054181662286,0.0820737123147351,17.13880187377887,17.056728161464136,0.2148264595930177,1.283258941787397,0.998116146107744
West_900m,West,900.0,0.000291,0.00036,-6.5e-05,20.631607215820313,7.960276366358267,0.03237663227203995,16.094241226170606,16.061864593898566,0.17838869836938145,1.2375517203873747,0.9983135760030906
North_1200m,North,1200.0,0.000204,0.000222,2e-07,12.534856771289064,5.3134735630884755,0.00831724934862473,9.770397854772039,9.762080605423415,0.11698444654018864,0.7041383936563194,0.9983758942889532
East_1200m,East,1200.0,0.000216,0.000252,7.1e-05,15.644096604492189,5.808037526281709,0.016827610459619394,12.209047169202602,12.192219558742982,0.1303550401072185,0.954846449833029,0.9983542567001272
South_1200m,South,1200.0,0.00021,0.000369,2e-07,15.843449216601565,6.6542085999182765,0.07507025427981258,12.343934290613452,12.26886403633364,0.1592237377010988,0.9357088267993429,0.9979926975193565
West_1200m,West,1200.0,0.000216,0.000252,-7.3e-05,15.701092286132813,5.810566946856231,0.016827610460598063,12.253918605643376,12.237090995182779,0.13051294493074586,0.9600409823824103,0.9983549494777242
