# A4 warm start from v4 r01 BEST
# idx  h_pipe(m)
0 0.0208928
1 0.0119716
2 0.00532998
3 0
4 -0.00270604
5 -0.00366277
6 -0.00323492
7 -0.000801556
8 0.00331366
9 0.0091561
10 0.0186907
11 0.013918
12 -0.00613135
13 -0.00921946
14 -0.0101508
15 -0.009428
16 -0.00693915
17 -0.00261743
18 0.00359068
19 0.0123201
20 0.00925383
21 -0.00533318
22 -0.0105246
23 -0.0133758
24 -0.0143528
25 -0.0134322
26 -0.0107583
27 -0.00609575
28 0.00909556
29 0.00621981
30 -0.00226848
31 -0.00865525
32 -0.0131721
33 -0.0159646
34 -0.0166987
35 -0.0156323
36 -0.0129236
37 -0.00821072
38 -0.00208441
39 0.00678017
40 0.00497239
41 -0.00352009
42 -0.00939115
43 -0.013782
44 -0.0164076
45 -0.0173879
46 -0.0159002
47 -0.0130325
48 -0.00881927
49 -0.00231867
50 0.00688121
51 0.00570448
52 -0.00256268
53 -0.00841198
54 -0.012765
55 -0.0152956
56 -0.0159086
57 -0.0149747
58 -0.0119156
59 -0.00675413
60 -0.000624399
61 0.00885274
62 0.00857719
63 -0.0053782
64 -0.00967165
65 -0.0119238
66 -0.012522
67 -0.0113639
68 -0.00832654
69 -0.00318085
70 0.0127249
71 0.0126167
72 0.00505721
73 -0.0049248
74 -0.00707722
75 -0.00790754
76 -0.00615828
77 -0.00325475
78 0.0080598
79 0.01674
80 0.0199684
81 0.0115402
82 0.00610648
83 0.002125
84 -0
85 -0.000310487
86 0.00126365
87 0.00451123
88 0.00969044
89 0.0164316
90 0.0041705
