# A4 warm start from v4 r01 BEST
# idx  h_pipe(m)
0 0.0217362
1 0.012193
2 0.00546227
3 0.000460078
4 -0.00226984
5 -0.003479
6 -0.00281785
7 -0.000273016
8 0.00419444
9 0.0103106
10 0.0197767
11 0.0144893
12 -0.00596618
13 -0.00913167
14 -0.0100304
15 -0.00953075
16 -0.0069615
17 -0.00242563
18 0.00394826
19 0.0126188
20 0.0103765
21 -0.00514816
22 -0.0108711
23 -0.0136068
24 -0.0147214
25 -0.0140246
26 -0.0111656
27 -0.00643341
28 0.00840535
29 0.0071854
30 -0.00195296
31 -0.00845567
32 -0.0133704
33 -0.0162726
34 -0.017422
35 -0.0167477
36 -0.0141082
37 -0.00939169
38 -0.00284377
39 0.00541548
40 0.00625486
41 -0.00273044
42 -0.00956761
43 -0.0144557
44 -0.0173189
45 -0.0181553
46 -0.0175586
47 -0.0149074
48 -0.0103108
49 -0.00411536
50 0.00472498
51 0.00727951
52 -0.0017148
53 -0.00862427
54 -0.0133932
55 -0.0164063
56 -0.0173074
57 -0.0165201
58 -0.0138869
59 -0.00945802
60 -0.00316772
61 0.00533016
62 0.0101044
63 -0.00560152
64 -0.0108188
65 -0.0136747
66 -0.0146705
67 -0.0136953
68 -0.0111536
69 -0.00628902
70 0.0082949
71 0.0140459
72 0.00539268
73 -0.0063442
74 -0.0090078
75 -0.0102638
76 -0.00953146
77 -0.00679467
78 0.00405857
79 0.0123734
80 0.021772
81 0.0118203
82 0.00534778
83 0.000355374
84 -0.00246651
85 -0.00373712
86 -0.00302908
87 -0.00045048
88 0.00433399
89 0.0106137
90 0.0198181
