# A4 warm start from v4 r01 BEST
# idx  h_pipe(m)
0 0.0193409
1 0.0115661
2 0.00593744
3 0.001598
4 -0.000987244
5 -0.00181557
6 -0.00117692
7 0.00119442
8 0.00558206
9 0.0105637
10 0.018868
11 0.0117555
12 -0.00587768
13 -0.00839273
14 -0.00915043
15 -0.00854978
16 -0.00617387
17 -0.00237463
18 0.00335066
19 0.01056
20 0.00645061
21 -0.00631514
22 -0.0111281
23 -0.0134655
24 -0.0143404
25 -0.01351
26 -0.0113054
27 -0.00701937
28 0.00611671
29 0.00306373
30 -0.00433621
31 -0.0100812
32 -0.0139988
33 -0.0165623
34 -0.0174554
35 -0.0167634
36 -0.0143113
37 -0.0104694
38 -0.00456839
39 0.00290278
40 0.00233165
41 -0.00552693
42 -0.0108027
43 -0.0150833
44 -0.0174327
45 -0.0184525
46 -0.0177148
47 -0.0155986
48 -0.0113876
49 -0.00605004
50 0.00179759
51 0.00326799
52 -0.00409884
53 -0.009943
54 -0.01401
55 -0.0163356
56 -0.0172899
57 -0.0168179
58 -0.0144609
59 -0.0103507
60 -0.00449974
61 0.00292414
62 0.00664526
63 -0.00637742
64 -0.0110049
65 -0.0132409
66 -0.0141613
67 -0.0135412
68 -0.0111617
69 -0.00666339
70 0.00610842
71 0.0113109
72 0.00386729
73 -0.00566937
74 -0.00833214
75 -0.0090051
76 -0.00852066
77 -0.00594352
78 0.00390116
79 0.0110997
80 0.0195149
81 0.0113179
82 0.00585968
83 0.00172292
84 -0.000684184
85 -0.00136558
86 -0.000866672
87 0.00152259
88 0.0055483
89 0.0109817
90 0.0191579
