# A4 warm start from v4 r01 BEST
# idx  h_pipe(m)
0 0.0189216
1 0.0106173
2 0.00481537
3 0.00024264
4 -0.00201415
5 -0.00213675
6 -0.000694117
7 0.00248407
8 0.00721286
9 0.0136762
10 0.00347934
11 0.0116387
12 -0.00632305
13 -0.00884562
14 -0.00934593
15 -0.00806111
16 -0.00494328
17 -0.000148747
18 0.00648306
19 0.0161395
20 0.00793494
21 -0.00575283
22 -0.0107924
23 -0.0128816
24 -0.0139921
25 -0.0127067
26 -0.00990869
27 -0.00487944
28 0.010867
29 0.00527904
30 -0.00341789
31 -0.0094726
32 -0.0133882
33 -0.0159038
34 -0.0166001
35 -0.0156596
36 -0.0130072
37 -0.00816294
38 -0.00170471
39 0.00768784
40 0.0049005
41 -0.00428544
42 -0.00994615
43 -0.0142681
44 -0.0168668
45 -0.0175517
46 -0.0163499
47 -0.0139187
48 -0.00926024
49 -0.00302187
50 0.00615343
51 0.0062126
52 -0.00276275
53 -0.00855387
54 -0.0129118
55 -0.0155792
56 -0.0163353
57 -0.0154893
58 -0.0129887
59 -0.00851625
60 -0.00244218
61 0.00637069
62 0.00973548
63 -0.00516158
64 -0.00983375
65 -0.0122945
66 -0.0138661
67 -0.0126196
68 -0.0102034
69 -0.00548875
70 0.00910911
71 0.0143208
72 0.00555743
73 -0.00505865
74 -0.00790351
75 -0.00895376
76 -0.00825792
77 -0.00579014
78 0.00442808
79 0.0129435
80 0.000452678
81 0.0126608
82 0.00689538
83 0.0024354
84 -0.000543545
85 -0.00167191
86 -0.00120359
87 0.000807118
88 0.00517247
89 0.0109562
90 0.0197837
