# Gravity-compensated bolt init: h* = h_shape + h_comp (closed form)
# Mirror: East_600m | sundir: 110_sundir_paper.txt
# idx  h_pipe(m)
0 0.02138917
1 0.01321975
2 0.00940441
3 0.00717364
4 0.00802229
5 0.01059909
6 0.01717126
7 0.01385587
8 0.00695036
9 0.00321931
10 0.00146618
11 0.00254861
12 0.00564772
13 0.01186752
14 0.01155982
15 0.00476846
16 0.00130629
17 -0.00008032
18 0.00130629
19 0.00476846
20 0.01155982
21 0.01186755
22 0.00564771
23 0.00254815
24 0.00146572
25 0.00321885
26 0.00695035
27 0.01385590
28 0.01717671
29 0.01060507
30 0.00802853
31 0.00717976
32 0.00941066
33 0.01322574
34 0.02139462
