# Gravity-compensated bolt init: h* = h_shape + h_comp (closed form)
# Mirror: North_300m | sundir: 110_sundir_paper.txt
# idx  h_pipe(m)
0 0.03307432
1 0.02088130
2 0.01490231
3 0.01220290
4 0.01489789
5 0.02087294
6 0.03306086
7 0.02270344
8 0.01165190
9 0.00530260
10 0.00283721
11 0.00530045
12 0.01164775
13 0.02269709
14 0.02047302
15 0.00906415
16 0.00258258
17 0.00015827
18 0.00258258
19 0.00906415
20 0.02047302
21 0.02269709
22 0.01164779
23 0.00530045
24 0.00283722
25 0.00530259
26 0.01165195
27 0.02270343
28 0.03306122
29 0.02087398
30 0.01489913
31 0.01220403
32 0.01490355
33 0.02088235
34 0.03307468
