# Gravity-compensated bolt init: h* = h_shape + h_comp (closed form)
# Mirror: South_600m | sundir: 110_sundir_paper.txt
# idx  h_pipe(m)
0 0.02099773
1 0.01319028
2 0.01019086
3 0.00864107
4 0.01018498
5 0.01317913
6 0.02097979
7 0.01309348
8 0.00630573
9 0.00306674
10 0.00165144
11 0.00306388
12 0.00630019
13 0.01308502
14 0.01150473
15 0.00445133
16 0.00118085
17 -0.00019085
18 0.00118085
19 0.00445133
20 0.01150473
21 0.01308507
22 0.00630015
23 0.00306301
24 0.00165057
25 0.00306587
26 0.00630569
27 0.01309353
28 0.02099019
29 0.01319002
30 0.01019630
31 0.00865219
32 0.01020218
33 0.01320117
34 0.02100814
