# Gravity-compensated bolt init: h* = h_shape + h_comp (closed form)
# Mirror: West_150m | sundir: 110_sundir_paper.txt
# idx  h_pipe(m)
0 0.05061490
1 0.02972152
2 0.02138328
3 0.01757270
4 0.02257427
5 0.03197975
6 0.05424948
7 0.03535120
8 0.01638260
9 0.00727041
10 0.00345011
11 0.00784836
12 0.01750509
13 0.03706456
14 0.03297164
15 0.01301504
16 0.00352270
17 -0.00049949
18 0.00352270
19 0.01301504
20 0.03297164
21 0.03706461
22 0.01750502
23 0.00784724
24 0.00344899
25 0.00726929
26 0.01638254
27 0.03535124
28 0.05426266
29 0.03199339
30 0.02258841
31 0.01758662
32 0.02139743
33 0.02973516
34 0.05062807
