# Gravity-compensated bolt init: h* = h_shape + h_comp (closed form)
# Mirror: East_600m | sundir: 36_sundir_fast.txt
# idx  h_pipe(m)
0 0.02134342
1 0.01323311
2 0.00940988
3 0.00718418
4 0.00802775
5 0.01061245
6 0.01712550
7 0.01382957
8 0.00697021
9 0.00323107
10 0.00148423
11 0.00256036
12 0.00566757
13 0.01184122
14 0.01153202
15 0.00478958
16 0.00131701
17 -0.00006395
18 0.00131701
19 0.00478958
20 0.01153202
21 0.01184125
22 0.00566756
23 0.00255985
24 0.00148372
25 0.00323055
26 0.00697020
27 0.01382960
28 0.01713167
29 0.01061914
30 0.00803473
31 0.00719102
32 0.00941686
33 0.01323980
34 0.02134958
