# Gravity-compensated bolt init: h* = h_shape + h_comp (closed form)
# Mirror: North_900m | sundir: 36_sundir_fast.txt
# idx  h_pipe(m)
0 0.01242956
1 0.00860461
2 0.00616286
3 0.00519544
4 0.00616139
5 0.00860182
6 0.01242508
7 0.00838904
8 0.00483283
9 0.00220902
10 0.00134984
11 0.00220831
12 0.00483144
13 0.00838692
14 0.00747172
15 0.00383185
16 0.00113339
17 0.00028308
18 0.00113339
19 0.00383185
20 0.00747172
21 0.00838693
22 0.00483147
23 0.00220837
24 0.00134991
25 0.00220908
26 0.00483286
27 0.00838905
28 0.01242426
29 0.00860151
30 0.00616111
31 0.00519514
32 0.00616258
33 0.00860430
34 0.01242874
