# Gravity-compensated bolt init: h* = h_shape + h_comp (closed form)
# Mirror: South_150m | sundir: 36_sundir_fast.txt
# idx  h_pipe(m)
0 0.05129526
1 0.03054420
2 0.02269125
3 0.01859873
4 0.02268243
5 0.03052747
6 0.05126834
7 0.03382764
8 0.01559281
9 0.00722349
10 0.00342110
11 0.00721920
12 0.01558450
13 0.03381495
14 0.03038746
15 0.01145220
16 0.00301812
17 -0.00068188
18 0.00301812
19 0.01145220
20 0.03038746
21 0.03381497
22 0.01558439
23 0.00721772
24 0.00341959
25 0.00722200
26 0.01559270
27 0.03382766
28 0.05128552
29 0.03054504
30 0.02270055
31 0.01861660
32 0.02270937
33 0.03056177
34 0.05131245
