# Gravity-compensated bolt init: h* = h_shape + h_comp (closed form)
# Mirror: West_900m | sundir: 36_sundir_fast.txt
# idx  h_pipe(m)
0 0.01328476
1 0.00842089
2 0.00637303
3 0.00569233
4 0.00732875
5 0.01023305
6 0.01620141
7 0.00907073
8 0.00447154
9 0.00203587
10 0.00120839
11 0.00249965
12 0.00537230
13 0.01044565
14 0.00873179
15 0.00373320
16 0.00103637
17 -0.00000071
18 0.00103637
19 0.00373320
20 0.00873179
21 0.01044568
22 0.00537229
23 0.00249922
24 0.00120796
25 0.00203544
26 0.00447153
27 0.00907076
28 0.01620661
29 0.01023876
30 0.00733471
31 0.00569817
32 0.00637899
33 0.00842660
34 0.01328997
