# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 74.6356 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0355069 0.0390825
1 0.0224455 0.0260211
2 0.016278 0.0198536
3 0.0136493 0.0172249
4 0.0164374 0.020013
5 0.023667 0.0272426
6 0.03711 0.0406856
7 0.0217362 0.0253118
8 0.00973013 0.0133057
9 0.00295937 0.00653496
10 0.000604017 0.00417961
11 0.00326578 0.00684137
12 0.0105823 0.0141579
13 0.02306 0.0266356
14 0.0179093 0.0214849
15 0.00555079 0.00912638
16 -0.00134559 0.00223
17 -0.00357559 0
18 -0.00100953 0.00256607
19 0.0063616 0.0099372
20 0.0191321 0.0227077
21 0.021755 0.0253306
22 0.00998309 0.0135587
23 0.00317579 0.00675139
24 0.000726355 0.00430195
25 0.0032044 0.00677999
26 0.0106202 0.0141958
27 0.0229362 0.0265118
28 0.0359321 0.0395077
29 0.0233337 0.0269093
30 0.0164446 0.0200202
31 0.0141526 0.0177282
32 0.0169971 0.0205727
33 0.0233354 0.026911
34 0.0365149 0.0400905
