# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 72.8486 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0384577 0.0407427
1 0.0242377 0.0265228
2 0.0161128 0.0183979
3 0.0132045 0.0154895
4 0.0147439 0.0170289
5 0.0217433 0.0240284
6 0.0344576 0.0367427
7 0.0252945 0.0275795
8 0.0122743 0.0145594
9 0.00418703 0.00647207
10 0.00170589 0.00399093
11 0.00378096 0.006066
12 0.0111084 0.0133934
13 0.0234487 0.0257337
14 0.0206591 0.0229441
15 0.0077239 0.0100089
16 -0.000109923 0.00217512
17 -0.00228504 0
18 0.000107374 0.00239241
19 0.00748799 0.00977303
20 0.0206019 0.0228869
21 0.0231162 0.0254013
22 0.010512 0.0127971
23 0.00316553 0.00545057
24 0.00112963 0.00341467
25 0.00392328 0.00620832
26 0.0117488 0.0140338
27 0.0248932 0.0271783
28 0.0329393 0.0352243
29 0.0205884 0.0228735
30 0.0135971 0.0158821
31 0.0121277 0.0144127
32 0.0151978 0.0174828
33 0.0232524 0.0255374
34 0.0373796 0.0396646
