# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 54.074 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0367944 0.0393471
1 0.0226657 0.0252184
2 0.014617 0.0171697
3 0.0119534 0.0145061
4 0.0141063 0.0166589
5 0.0213959 0.0239485
6 0.0348633 0.037416
7 0.0253539 0.0279066
8 0.0119903 0.0145429
9 0.0035102 0.00606285
10 0.00093872 0.00349137
11 0.00315898 0.00571162
12 0.0107234 0.0132761
13 0.0233553 0.0259079
14 0.0217607 0.0243134
15 0.00816598 0.0107186
16 0.000142115 0.00269476
17 -0.00255265 0
18 -0.000894588 0.00165806
19 0.0068807 0.00943334
20 0.0199884 0.022541
21 0.0249193 0.027472
22 0.0116141 0.0141668
23 0.00356326 0.00611591
24 0.000890924 0.00344357
25 0.0027929 0.00534555
26 0.0103931 0.0129458
27 0.0233049 0.0258575
28 0.0364553 0.039008
29 0.0225191 0.0250717
30 0.0144359 0.0169886
31 0.0113961 0.0139487
32 0.0138097 0.0163624
33 0.0210632 0.0236158
34 0.0346389 0.0371915
