# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 72.7045 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0320843 0.0341327
1 0.020173 0.0222214
2 0.0136287 0.0156771
3 0.0122657 0.0143141
4 0.0153952 0.0174437
5 0.0242375 0.026286
6 0.0394332 0.0414816
7 0.0214222 0.0234706
8 0.009889 0.0119374
9 0.00293261 0.00498104
10 0.00133043 0.00337886
11 0.00416559 0.00621402
12 0.0126577 0.0147061
13 0.0260628 0.0281112
14 0.0190692 0.0211176
15 0.00688808 0.00893651
16 -0.000438727 0.0016097
17 -0.00204842 0
18 0.00027316 0.00232159
19 0.00848833 0.0105368
20 0.0215931 0.0236415
21 0.0239129 0.0259613
22 0.0111371 0.0131855
23 0.00373842 0.00578684
24 0.00162569 0.00367412
25 0.00366705 0.00571548
26 0.0112799 0.0133283
27 0.0244958 0.0265443
28 0.0365703 0.0386187
29 0.023155 0.0252034
30 0.0156637 0.0177121
31 0.0128428 0.0148912
32 0.0146403 0.0166887
33 0.0218367 0.0238851
34 0.0349606 0.037009
