# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 99.1586 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.038088 0.0388961
1 0.0212573 0.0220654
2 0.0149556 0.0157637
3 0.0124138 0.0132219
4 0.0142151 0.0150232
5 0.0192407 0.0200488
6 0.035335 0.0361431
7 0.025615 0.0264231
8 0.00936486 0.010173
9 0.00419061 0.00499871
10 0.00178603 0.00259413
11 0.0040288 0.0048369
12 0.00887267 0.00968077
13 0.0240438 0.0248519
14 0.0220605 0.0228686
15 0.00610226 0.00691036
16 0.000982504 0.0017906
17 -0.000808098 0
18 0.00121641 0.00202451
19 0.00634201 0.00715011
20 0.0217338 0.0225419
21 0.024384 0.0251921
22 0.0086022 0.00941029
23 0.00344354 0.00425164
24 0.0020726 0.0028807
25 0.0046307 0.00543879
26 0.00973261 0.0105407
27 0.0255135 0.0263216
28 0.0353322 0.0361403
29 0.0187917 0.0195998
30 0.0139741 0.0147822
31 0.0124419 0.01325
32 0.0149202 0.0157283
33 0.0212928 0.0221009
34 0.03793 0.0387381
