# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 76.1579 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0374319 0.0397729
1 0.0210177 0.0233587
2 0.0150908 0.0174318
3 0.0126025 0.0149435
4 0.0153357 0.0176766
5 0.0213266 0.0236675
6 0.0375749 0.0399159
7 0.0255251 0.027866
8 0.010169 0.01251
9 0.00415258 0.00649353
10 0.00128101 0.00362197
11 0.00466751 0.00700846
12 0.0103489 0.0126898
13 0.0256017 0.0279427
14 0.0219296 0.0242705
15 0.00654256 0.00888351
16 0.000492397 0.00283335
17 -0.00234095 0
18 0.000771908 0.00311286
19 0.00626456 0.00860551
20 0.0223451 0.024686
21 0.0236526 0.0259935
22 0.00850079 0.0108417
23 0.00238298 0.00472393
24 -0.0002896 0.00205135
25 0.00265673 0.00499769
26 0.00871073 0.0110517
27 0.0238838 0.0262248
28 0.0343683 0.0367093
29 0.0175926 0.0199336
30 0.011476 0.0138169
31 0.008892 0.011233
32 0.0115844 0.0139253
33 0.0176864 0.0200274
34 0.0345376 0.0368786
