# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 109.957 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0363766 0.037766
1 0.0209635 0.0223529
2 0.0160863 0.0174757
3 0.0137521 0.0151415
4 0.0156223 0.0170117
5 0.0210646 0.022454
6 0.0364273 0.0378167
7 0.0228424 0.0242318
8 0.00825131 0.00964071
9 0.0038152 0.0052046
10 0.00127702 0.00266642
11 0.0037368 0.0051262
12 0.00814817 0.00953757
13 0.0227248 0.0241142
14 0.0202197 0.021609
15 0.00528994 0.00667933
16 0.000687915 0.00207731
17 -0.0013894 0
18 0.000238842 0.00162824
19 0.00510437 0.00649377
20 0.0201577 0.0215471
21 0.022802 0.0241914
22 0.00821358 0.00960298
23 0.00355177 0.00494117
24 0.00165741 0.00304681
25 0.00348188 0.00487127
26 0.00830739 0.00969679
27 0.022731 0.0241204
28 0.0363085 0.0376979
29 0.0201053 0.0214947
30 0.0152021 0.0165915
31 0.0130989 0.0144883
32 0.0158179 0.0172072
33 0.0205184 0.0219078
34 0.0363099 0.0376993
