# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 99.1193 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0357039 0.0377409
1 0.0191679 0.0212049
2 0.0136761 0.0157131
3 0.0114202 0.0134572
4 0.0147116 0.0167486
5 0.0209481 0.0229851
6 0.0381937 0.0402307
7 0.023894 0.025931
8 0.00876001 0.010797
9 0.00349792 0.00553492
10 0.000702538 0.00273955
11 0.0038837 0.0059207
12 0.00945441 0.0114914
13 0.0249214 0.0269584
14 0.0219399 0.0239769
15 0.00604156 0.00807857
16 0.000680294 0.0027173
17 -0.00203701 0
18 0.000444359 0.00248137
19 0.0060093 0.00804631
20 0.0216128 0.0236498
21 0.0249882 0.0270252
22 0.00954084 0.0115779
23 0.00385905 0.00589605
24 0.000595639 0.00263265
25 0.00320318 0.00524019
26 0.0084233 0.0104603
27 0.0233969 0.0254339
28 0.0380863 0.0401233
29 0.0206828 0.0227199
30 0.0148069 0.0168439
31 0.011282 0.013319
32 0.0132484 0.0152854
33 0.0184883 0.0205253
34 0.0345516 0.0365886
