# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 75.4724 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0162495 0.0338962
1 0.00560741 0.0232542
2 -0.000136915 0.0175098
3 -0.00245706 0.0151897
4 -0.000325739 0.017321
5 0.00571299 0.0233597
6 0.0167841 0.0344308
7 0.00373471 0.0213815
8 -0.00634349 0.0113033
9 -0.0122005 0.00544622
10 -0.0143281 0.00331862
11 -0.0121537 0.00549309
12 -0.00608043 0.0115663
13 0.00402375 0.0216705
14 0.000362293 0.018009
15 -0.00970214 0.00794462
16 -0.0155045 0.00214226
17 -0.0176468 0
18 -0.0156425 0.0020042
19 -0.00970236 0.00794439
20 0.000938045 0.0185848
21 0.00349293 0.0211397
22 -0.00661806 0.0110287
23 -0.0125146 0.00513216
24 -0.0142864 0.00336035
25 -0.0125872 0.00505951
26 -0.00641189 0.0112349
27 0.00402429 0.021671
28 0.0160133 0.0336601
29 0.00471722 0.022364
30 -0.000745955 0.0169008
31 -0.00303997 0.0146068
32 -0.00100407 0.0166427
33 0.00482185 0.0224686
34 0.0159993 0.0336461
