# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 69.5116 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0157433 0.0336841
1 0.00369641 0.0216372
2 -0.00242752 0.0155133
3 -0.00419067 0.0137502
4 -0.00159251 0.0163483
5 0.00513622 0.0230771
6 0.0185061 0.036447
7 0.00503368 0.0229745
8 -0.00606715 0.0118737
9 -0.0126902 0.00525068
10 -0.0149436 0.00299719
11 -0.0125884 0.00535247
12 -0.00574405 0.0121968
13 0.00601296 0.0239538
14 0.00285286 0.0207937
15 -0.00880073 0.0091401
16 -0.0153799 0.00256096
17 -0.0179408 0
18 -0.0155221 0.00241874
19 -0.00907893 0.0088619
20 0.00293036 0.0208712
21 0.00629323 0.0242341
22 -0.00569001 0.0122508
23 -0.0123172 0.00562364
24 -0.0148225 0.00311834
25 -0.0127353 0.00520551
26 -0.00655909 0.0113817
27 0.00522963 0.0231705
28 0.0185361 0.0364769
29 0.00549407 0.0234349
30 -0.00137947 0.0165614
31 -0.0039877 0.0139531
32 -0.00231169 0.0156291
33 0.00377914 0.02172
34 0.0157145 0.0336554
