# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 69.0488 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0182816 0.0362601
1 0.0052425 0.023221
2 -0.00173292 0.0162456
3 -0.00447797 0.0135006
4 -0.00294934 0.0150292
5 0.00338231 0.0213609
6 0.0156285 0.033607
7 0.00613755 0.0241161
8 -0.00577457 0.012204
9 -0.0124747 0.00550385
10 -0.0148353 0.00314319
11 -0.0128813 0.00509724
12 -0.00629495 0.0116836
13 0.00513315 0.0231117
14 0.00251799 0.0204965
15 -0.0092683 0.00871025
16 -0.0157738 0.00220471
17 -0.0179785 0
18 -0.0154578 0.00252075
19 -0.00918731 0.00879123
20 0.0033647 0.0213432
21 0.00453479 0.0225133
22 -0.00648431 0.0114942
23 -0.0128842 0.00509431
24 -0.0150192 0.00295933
25 -0.012282 0.00569658
26 -0.00560238 0.0123762
27 0.00650219 0.0244807
28 0.0155056 0.0334841
29 0.00323845 0.021217
30 -0.00252769 0.0154509
31 -0.00431132 0.0136672
32 -0.00145698 0.0165216
33 0.0052349 0.0232134
34 0.0185061 0.0364847
