# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 51.779 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0177673 0.0357351
1 0.00441883 0.0223866
2 -0.00198733 0.0159804
3 -0.00449395 0.0134738
4 -0.00220886 0.0157589
5 0.00427569 0.0222435
6 0.0175712 0.0355389
7 0.00635462 0.0243224
8 -0.00573398 0.0122338
9 -0.012412 0.00555573
10 -0.0150743 0.00289345
11 -0.0126883 0.00527943
12 -0.00584505 0.0121227
13 0.00635886 0.0243266
14 0.00382143 0.0217892
15 -0.00866926 0.00929852
16 -0.0154488 0.00251901
17 -0.0179678 0
18 -0.0156106 0.00235721
19 -0.00865114 0.00931664
20 0.00408621 0.022054
21 0.00627866 0.0242464
22 -0.00572997 0.0122378
23 -0.0125014 0.00546638
24 -0.0150617 0.00290613
25 -0.0126384 0.00532935
26 -0.005874 0.0120938
27 0.00648475 0.0244525
28 0.0173263 0.0352941
29 0.00424459 0.0222124
30 -0.00211856 0.0158492
31 -0.00504231 0.0129255
32 -0.0024677 0.0155001
33 0.00397473 0.0219425
34 0.0178829 0.0358506
