# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: East_600m
# idx  h_pipe(m)
0 0.02142987
1 0.01357443
2 0.00966101
3 0.00743208
4 0.00825034
5 0.01089961
6 0.01712548
7 0.01390165
8 0.00722774
9 0.00341260
10 0.00168272
11 0.00272815
12 0.00589822
13 0.01187255
14 0.01150934
15 0.00496582
16 0.00140142
17 0.00003991
18 0.00140142
19 0.00496582
20 0.01150934
21 0.01187255
22 0.00589822
23 0.00272815
24 0.00168272
25 0.00341260
26 0.00722774
27 0.01390165
28 0.01712548
29 0.01089961
30 0.00825034
31 0.00743208
32 0.00966101
33 0.01357443
34 0.02142987
