# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: North_300m
# idx  h_pipe(m)
0 0.03399249
1 0.02119982
2 0.01522823
3 0.01245644
4 0.01522373
5 0.02119128
6 0.03397875
7 0.02323367
8 0.01169180
9 0.00536116
10 0.00282213
11 0.00535898
12 0.01168756
13 0.02322720
14 0.02092360
15 0.00899044
16 0.00253515
17 0.00004160
18 0.00253515
19 0.00899044
20 0.02092360
21 0.02322720
22 0.01168756
23 0.00535898
24 0.00282213
25 0.00536116
26 0.01169180
27 0.02323367
28 0.03397875
29 0.02119128
30 0.01522373
31 0.01245644
32 0.01522823
33 0.02119982
34 0.03399249
