# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: South_900m
# idx  h_pipe(m)
0 0.01747695
1 0.01174647
2 0.00909015
3 0.00785203
4 0.00908715
5 0.01174078
6 0.01746779
7 0.01079947
8 0.00574341
9 0.00287489
10 0.00177464
11 0.00287343
12 0.00574059
13 0.01079516
14 0.00933765
15 0.00409321
16 0.00115872
17 0.00008584
18 0.00115872
19 0.00409321
20 0.00933765
21 0.01079516
22 0.00574059
23 0.00287343
24 0.00177464
25 0.00287489
26 0.00574341
27 0.01079947
28 0.01746779
29 0.01174078
30 0.00908715
31 0.00785203
32 0.00909015
33 0.01174647
34 0.01747695
