# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: West_1200m
# idx  h_pipe(m)
0 0.00913686
1 0.00576935
2 0.00439465
3 0.00407651
4 0.00549017
5 0.00784660
6 0.01247963
7 0.00650890
8 0.00318007
9 0.00144828
10 0.00092323
11 0.00197982
12 0.00421257
13 0.00808469
14 0.00654142
15 0.00281715
16 0.00079475
17 0.00001835
18 0.00079475
19 0.00281715
20 0.00654142
21 0.00808469
22 0.00421257
23 0.00197982
24 0.00092323
25 0.00144828
26 0.00318007
27 0.00650890
28 0.01247963
29 0.00784660
30 0.00549017
31 0.00407651
32 0.00439465
33 0.00576935
34 0.00913686
