# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: East_150m
# idx  h_pipe(m)
0 0.05301671
1 0.03279689
2 0.02313144
3 0.01828485
4 0.02188584
5 0.03043508
6 0.04921602
7 0.03619209
8 0.01825222
9 0.00832718
10 0.00414395
11 0.00772283
12 0.01707829
13 0.03440044
14 0.03191177
15 0.01368663
16 0.00385800
17 0.00004253
18 0.00385800
19 0.01368663
20 0.03191177
21 0.03440044
22 0.01707829
23 0.00772283
24 0.00414395
25 0.00832718
26 0.01825222
27 0.03619209
28 0.04921602
29 0.03043508
30 0.02188584
31 0.01828485
32 0.02313144
33 0.03279689
34 0.05301671
