# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: North_1200m
# idx  h_pipe(m)
0 0.00994359
1 0.00616704
2 0.00440310
3 0.00358405
4 0.00440010
5 0.00616135
6 0.00993443
7 0.00684237
8 0.00343091
9 0.00156345
10 0.00081218
11 0.00156200
12 0.00342808
13 0.00683805
14 0.00617669
15 0.00265071
16 0.00074727
17 0.00000955
18 0.00074727
19 0.00265071
20 0.00617669
21 0.00683805
22 0.00342808
23 0.00156200
24 0.00081218
25 0.00156345
26 0.00343091
27 0.00684237
28 0.00993443
29 0.00616135
30 0.00440010
31 0.00358405
32 0.00440310
33 0.00616704
34 0.00994359
