# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: South_300m
# idx  h_pipe(m)
0 0.03317436
1 0.02232693
2 0.01729966
3 0.01495659
4 0.01729516
5 0.02231840
6 0.03316062
7 0.02045908
8 0.01089259
9 0.00546126
10 0.00338022
11 0.00545907
12 0.01088835
13 0.02045260
14 0.01767531
15 0.00775136
16 0.00219447
17 0.00016522
18 0.00219447
19 0.00775136
20 0.01767531
21 0.02045260
22 0.01088835
23 0.00545907
24 0.00338022
25 0.00546126
26 0.01089259
27 0.02045908
28 0.03316062
29 0.02231840
30 0.01729516
31 0.01495659
32 0.01729966
33 0.02232693
34 0.03317436
