# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: West_600m
# idx  h_pipe(m)
0 0.01711768
1 0.01088124
2 0.00823476
3 0.00743104
4 0.00969046
5 0.01364143
6 0.02155944
7 0.01190027
8 0.00590227
9 0.00272492
10 0.00168255
11 0.00343122
12 0.00727422
13 0.01399413
14 0.01156972
15 0.00499046
16 0.00140829
17 0.00003894
18 0.00140829
19 0.00499046
20 0.01156972
21 0.01399413
22 0.00727422
23 0.00343122
24 0.00168255
25 0.00272492
26 0.00590227
27 0.01190027
28 0.02155944
29 0.01364143
30 0.00969046
31 0.00743104
32 0.00823476
33 0.01088124
34 0.01711768
