# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: East_150m
# idx  h_pipe(m)
0 0.05209151
1 0.03207781
2 0.02250066
3 0.01771181
4 0.02128028
5 0.02976382
6 0.04836718
7 0.03575843
8 0.01798368
9 0.00815349
10 0.00401140
11 0.00756127
12 0.01683348
13 0.03400276
14 0.03161164
15 0.01355169
16 0.00381719
17 0.00003634
18 0.00381719
19 0.01355169
20 0.03161164
21 0.03400276
22 0.01683348
23 0.00756127
24 0.00401140
25 0.00815349
26 0.01798368
27 0.03575843
28 0.04836718
29 0.02976382
30 0.02128028
31 0.01771181
32 0.02250066
33 0.03207781
34 0.05209151
