# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: North_300m
# idx  h_pipe(m)
0 0.03339608
1 0.02072955
2 0.01480833
3 0.01206626
4 0.01480392
5 0.02072119
6 0.03338262
7 0.02295817
8 0.01152014
9 0.00524813
10 0.00273196
11 0.00524599
12 0.01151598
13 0.02295182
14 0.02072664
15 0.00890154
16 0.00250818
17 0.00003718
18 0.00250818
19 0.00890154
20 0.02072664
21 0.02295182
22 0.01151598
23 0.00524599
24 0.00273196
25 0.00524813
26 0.01152014
27 0.02295817
28 0.03338262
29 0.02072119
30 0.01480392
31 0.01206626
32 0.01480833
33 0.02072955
34 0.03339608
