# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: South_150m
# idx  h_pipe(m)
0 0.04897697
1 0.03127681
2 0.02302040
3 0.01919186
4 0.02301157
5 0.03126008
6 0.04895005
7 0.03248374
8 0.01661788
9 0.00781926
10 0.00434113
11 0.00781498
12 0.01660956
13 0.03247105
14 0.02892634
15 0.01250704
16 0.00352836
17 0.00012119
18 0.00352836
19 0.01250704
20 0.02892634
21 0.03247105
22 0.01660956
23 0.00781498
24 0.00434113
25 0.00781926
26 0.01661788
27 0.03248374
28 0.04895005
29 0.03126008
30 0.02301157
31 0.01919186
32 0.02302040
33 0.03127681
34 0.04897697
