# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: West_900m
# idx  h_pipe(m)
0 0.01317760
1 0.00838997
2 0.00632671
3 0.00565030
4 0.00728244
5 0.01020213
6 0.01609424
7 0.00908889
8 0.00453169
9 0.00209768
10 0.00127830
11 0.00256147
12 0.00543245
13 0.01046382
14 0.00873125
15 0.00377009
16 0.00106332
17 0.00003238
18 0.00106332
19 0.00377009
20 0.00873125
21 0.01046382
22 0.00543245
23 0.00256147
24 0.00127830
25 0.00209768
26 0.00453169
27 0.00908889
28 0.01609424
29 0.01020213
30 0.00728244
31 0.00565030
32 0.00632671
33 0.00838997
34 0.01317760
