name,lsq_s95_334d,opt_s95_334d,opt_s95_36d,delta,ratio,opt_reduction_pct
East_1200m,383.9591,158.1138,155.8568,225.84529999999998,2.428371843570896,63.26
East_150m,48.9968,46.4518,45.6231,2.5450000000000017,1.0547879737706611,79.56
East_300m,67.1684,66.8861,65.1664,0.28230000000000643,1.0042206078691986,69.61
East_600m,167.5962,165.774,164.9281,1.8222000000000094,1.010992073545912,46.54
East_900m,295.3333,138.2128,137.1896,157.12050000000002,2.136801367167151,64.21
North_1200m,377.1037,101.8308,100.7355,275.2729,3.7032381165619834,76.21
North_150m,38.7852,37.4638,37.0944,1.3214000000000041,1.0352713819740658,84.29
North_300m,51.607,50.3953,50.0209,1.2117000000000004,1.0240439088565798,78.0
North_600m,137.7934,137.1264,136.3758,0.6670000000000016,1.00486412536171,55.94
North_900m,276.7621,94.6233,93.8165,182.13879999999997,2.924883194731107,75.48
South_1200m,393.3625,190.4986,193.1335,202.8639,2.0649101883163445,54.62
South_150m,52.0632,51.654,50.1054,0.40919999999999845,1.0079219421535601,75.34
South_300m,72.2412,71.7993,73.0815,0.44190000000000396,1.0061546561038897,63.14
South_600m,188.5599,187.8764,189.8652,0.6835000000000093,1.003638030109157,37.12
South_900m,312.8096,160.8278,163.4384,151.9818,1.9449970714018348,57.35
West_1200m,383.7122,156.9759,153.7224,226.7363,2.4444019750802513,63.76
West_150m,48.9187,46.55,45.4542,2.368700000000004,1.0508850698174008,79.62
West_300m,67.3314,66.5774,64.7039,0.7540000000000049,1.011325164395125,69.9
West_600m,167.4136,166.0175,164.7991,1.39609999999999,1.0084093544355264,46.57
West_900m,294.8795,138.7923,137.0117,156.0872,2.1246099387357944,64.25
