x,y,z,ux,uy,uz,usum
     -6.420000,    4.518540,    1.381456,   0.000010882,  -0.001156326,   0.003781135,   0.003954009
      6.420000,    4.518540,    1.381456,  -0.000010882,  -0.001156326,   0.003781135,   0.003954009
     -6.219375,    4.518540,    1.381456,   0.000006362,  -0.000762330,   0.002492480,   0.002606462
     -6.018750,    4.518540,    1.381456,   0.000002466,  -0.000395494,   0.001292762,   0.001351908
     -5.818125,    4.518540,    1.381456,   0.000000240,  -0.000114621,   0.000374401,   0.000391553
     -5.617500,    4.518540,    1.381456,   0.000000000,   0.000000000,   0.000000000,   0.000000000
     -5.416875,    4.518540,    1.381456,   0.000000000,   0.000000000,   0.000000000,   0.000000000
     -5.216250,    4.518540,    1.381456,   0.000000000,   0.000000000,   0.000000000,   0.000000000
     -5.015625,    4.518540,    1.381456,   0.000000144,  -0.000034271,   0.000111559,   0.000116705
     -4.815000,    4.518540,    1.381456,   0.000000021,  -0.000120461,   0.000393084,   0.000411127
     -4.614375,    4.518540,    1.381456,  -0.000000035,  -0.000186225,   0.000607955,   0.000635837
     -4.413750,    4.518540,    1.381456,   0.000000032,  -0.000190033,   0.000620407,   0.000648858
     -4.213125,    4.518540,    1.381456,  -0.000000001,  -0.000129960,   0.000424149,   0.000443612
     -4.012500,    4.518540,    1.381456,  -0.000000127,  -0.000042864,   0.000139661,   0.000146090
     -3.811875,    4.518540,    1.381456,   0.000000000,   0.000000000,   0.000000000,   0.000000000
     -3.611250,    4.518540,    1.381456,   0.000000000,   0.000000000,   0.000000000,   0.000000000
     -3.410625,    4.518540,    1.381456,   0.000000000,   0.000000000,   0.000000000,   0.000000000
     -3.210000,    4.518540,    1.381456,   0.000000137,  -0.000045289,   0.000147566,   0.000154359
     -3.009375,    4.518540,    1.381456,  -0.000000001,  -0.000137060,   0.000447334,   0.000467860
     -2.808750,    4.518540,    1.381456,  -0.000000040,  -0.000202310,   0.000660518,   0.000690806
     -2.608125,    4.518540,    1.381456,   0.000000040,  -0.000202186,   0.000660114,   0.000690384
     -2.407500,    4.518540,    1.381456,   0.000000000,  -0.000136749,   0.000446318,   0.000466797
     -2.206875,    4.518540,    1.381456,  -0.000000138,  -0.000044994,   0.000146603,   0.000153352
