x,y,z,ux,uy,uz,usum
     -4.205906,   -0.644202,    3.691111,   0.000002304,  -0.001774610,  -0.000312835,   0.001801975
     -0.198621,    0.438606,   -2.513099,   0.000000147,  -0.002194859,  -0.000381666,   0.002227796
      0.002047,   -0.033534,    0.192140,   0.000000000,   0.000000000,   0.000000000,   0.000000000
      3.005812,   -0.269428,    1.543751,   0.000000383,  -0.002562602,  -0.000446728,   0.002601248
     -1.605526,   -0.540637,    3.097711,  -0.000000518,  -0.003254637,  -0.000567921,   0.003303816
      0.402565,    0.744819,   -4.267622,   0.000001363,  -0.001687698,  -0.000289141,   0.001712287
     -6.420000,   -0.812365,    4.654642,   0.000163240,  -0.016342497,  -0.002863585,   0.016592287
     -6.219375,   -0.812365,    4.654642,   0.000109864,  -0.011798881,  -0.002065476,   0.011978808
     -4.406515,   -0.643954,    3.689688,   0.000002543,  -0.002417931,  -0.000425006,   0.002455001
      0.001706,    0.438833,   -2.514400,   0.000000005,  -0.001942460,  -0.000338142,   0.001971672
     -0.199787,   -0.033602,    0.192529,   0.000000000,   0.000000000,   0.000000000,   0.000000000
      2.805738,   -0.269081,    1.541767,   0.000000187,  -0.003204431,  -0.000558148,   0.003252677
     -1.805866,   -0.540807,    3.098682,   0.000000192,  -0.003104291,  -0.000541545,   0.003151173
      0.602111,    0.744487,   -4.265721,  -0.000000222,  -0.002712691,  -0.000463592,   0.002752019
     -6.218877,   -0.778626,    4.461327,   0.000104154,  -0.011304709,  -0.001978488,   0.011477007
     -6.420000,   -0.778516,    4.460698,   0.000158106,  -0.015886115,  -0.002783061,   0.016128828
     -4.606731,   -0.643954,    3.689693,   0.000001634,  -0.002353556,  -0.000413529,   0.002389609
      0.202333,    0.438422,   -2.512044,  -0.000000148,  -0.002201639,  -0.000382844,   0.002234678
     -0.399728,   -0.033391,    0.191324,  -0.000001372,  -0.000698487,  -0.000120398,   0.000708789
      2.605224,   -0.268821,    1.540275,  -0.000001029,  -0.003223637,  -0.000561519,   0.003272177
     -2.005610,   -0.540579,    3.097378,   0.000000911,  -0.003266972,  -0.000570068,   0.003316336
      0.801925,    0.744443,   -4.265468,  -0.000000377,  -0.003329415,  -0.000568973,   0.003377682
     -6.218179,   -0.744888,    4.268019,   0.000099666,  -0.010828466,  -0.001894057,   0.010993319
     -4.806650,   -0.644163,    3.690887,   0.000001747,  -0.001616956,  -0.000284559,   0.001641805
      0.401653,    0.437858,   -2.508811,  -0.000000701,  -0.002772034,  -0.000481701,   0.002813575
     -0.600949,   -0.033307,    0.190840,   0.000000570,  -0.001891557,  -0.000330081,   0.001920141
      2.404895,   -0.268929,    1.540893,  -0.000001278,  -0.002606599,  -0.000454462,   0.002645921
     -2.206821,   -0.540231,    3.095386,   0.000001647,  -0.003728153,  -0.000650707,   0.003784514
      1.002834,    0.744426,   -4.265367,   0.000000349,  -0.003328075,  -0.000568748,   0.003376323
