iteration,loss,s95_area
0,14216.8,59.1678
1,14215.7,59.1544
2,14208.2,59.1411
3,14206,59.1411
4,14208.3,59.1411
5,14201.2,59.1411
6,14203.9,59.1411
7,14200.4,59.1411
8,14197.5,59.1411
9,14202.8,59.1411
10,14207.8,59.1322
11,14204.7,59.1322
12,14206.6,59.1322
13,14205.8,59.1322
14,14200.8,59.1322
15,14203.4,59.1322
16,14205.5,59.1322
17,14206.1,59.1322
18,14209.8,59.1322
19,14197.7,59.1322
20,14199.7,59.1411
21,14208.8,59.1322
22,14203.9,59.1322
23,14205.7,59.1322
24,14199.5,59.1322
25,14203.7,59.1322
26,14203.8,59.1322
27,14201.4,59.1322
28,14200.5,59.1322
29,14199.6,59.1322
30,14204.4,59.1278
31,14198.6,59.1278
32,14204.3,59.1278
33,14210.4,59.1278
34,14197.6,59.1278
35,14202.4,59.1278
36,14209.1,59.1278
37,14211.8,59.1278
38,14205.7,59.1278
39,14206.3,59.1278
40,14208.6,59.1366
41,14212.4,59.1278
42,14201.8,59.1278
43,14211.8,59.1278
44,14212,59.1278
45,14213,59.1278
46,14210.8,59.1278
47,14216.8,59.1278
48,14219.7,59.1278
49,14221.3,59.1278
50,14222.5,59.1277
51,14210.1,59.1277
52,14211.6,59.1277
53,14212.3,59.1277
54,14217.4,59.1277
55,14213.6,59.1277
56,14212,59.1277
57,14210.6,59.1277
58,14210.9,59.1277
59,14214.8,59.1277
60,14211.4,59.1322
61,14223,59.1277
62,14217.4,59.1277
63,14222.2,59.1277
64,14219.4,59.1277
65,14214.9,59.1277
66,14218.5,59.1277
67,14226.8,59.1277
68,14211.9,59.1277
69,14217.8,59.1277
70,14214.6,59.1189
71,14216.4,59.1189
72,14217.7,59.1189
73,14215.5,59.1189
74,14214.4,59.1189
75,14220.3,59.1189
76,14215.3,59.1189
77,14211.3,59.1189
78,14223.2,59.1189
79,14216.1,59.1189
80,14219.9,59.1322
81,14222.9,59.1189
82,14227.6,59.1189
83,14219.7,59.1189
84,14222.8,59.1189
85,14227.8,59.1189
86,14228,59.1189
87,14219.7,59.1189
88,14222.8,59.1189
89,14225.1,59.1189
90,14226.3,59.1233
91,14224.2,59.1189
92,14230.1,59.1189
93,14221.6,59.1189
94,14227.7,59.1189
95,14235.9,59.1189
96,14223.7,59.1189
97,14229.7,59.1189
98,14235,59.1189
99,14225.2,59.1189
100,14226.8,59.1278
101,14238.2,59.1189
102,14227.7,59.1189
103,14223.3,59.1189
104,14229.6,59.1189
105,14228.9,59.1189
106,14226.2,59.1189
107,14232.8,59.1189
108,14230,59.1189
109,14229.4,59.1189
110,14228.9,59.1233
111,14233.4,59.1189
112,14230.9,59.1189
113,14223.1,59.1189
114,14225.6,59.1189
115,14231.4,59.1189
116,14225.4,59.1189
117,14233.3,59.1189
118,14220.1,59.1189
119,14224.6,59.1189
120,14229.2,59.1278
121,14233.1,59.1189
122,14237,59.1189
123,14230.3,59.1189
124,14232.6,59.1189
125,14222.6,59.1189
126,14234.7,59.1189
127,14230.8,59.1189
128,14232.5,59.1189
129,14227.4,59.1189
130,14233.3,59.1233
131,14225.4,59.1189
132,14232.5,59.1189
133,14236.9,59.1189
134,14229.4,59.1189
135,14233.9,59.1189
136,14227.5,59.1189
137,14228.8,59.1189
138,14229.8,59.1189
139,14233.9,59.1189
140,14228,59.1233
141,14230.5,59.1189
142,14222.2,59.1189
143,14226.4,59.1189
144,14230.3,59.1189
145,14227,59.1189
146,14224.9,59.1189
147,14230.1,59.1189
148,14235.4,59.1189
149,14230.6,59.1189
150,14231.6,59.1366
151,14228.8,59.1189
152,14233.6,59.1189
153,14225.1,59.1189
154,14230.2,59.1189
155,14224.7,59.1189
156,14231.5,59.1189
157,14218.8,59.1189
158,14229.9,59.1189
159,14234.5,59.1189
160,14228.1,59.1322
161,14230.9,59.1189
162,14226.6,59.1189
163,14226.3,59.1189
164,14228.4,59.1189
165,14228.9,59.1189
166,14227,59.1189
167,14225.4,59.1189
168,14228.7,59.1189
169,14230.8,59.1189
170,14222.6,59.1189
171,14227.9,59.1189
172,14227.9,59.1189
173,14237.1,59.1189
174,14229.3,59.1189
175,14231.5,59.1189
176,14238,59.1189
177,14226.8,59.1189
178,14225.2,59.1189
179,14221.4,59.1189
180,14225.5,59.1322
181,14231.4,59.1189
182,14231.3,59.1189
183,14224.6,59.1189
184,14225.5,59.1189
185,14225.6,59.1189
186,14224.4,59.1189
187,14231,59.1189
188,14225.9,59.1189
189,14227,59.1189
190,14222.6,59.1055
191,14220.1,59.1055
192,14225.4,59.1055
193,14229.8,59.1055
194,14235.3,59.1055
195,14226.5,59.1055
196,14229.2,59.1055
197,14228.5,59.1055
198,14234.3,59.1055
199,14236.6,59.1055
