iteration,loss,s95_area
0,10591,43.4487
1,10591.3,43.4398
2,10586,43.4443
3,10590.8,43.4398
4,10588.6,43.4398
5,10587.1,43.4398
6,10588.6,43.4398
7,10584.8,43.4398
8,10591.2,43.4398
9,10587.6,43.4398
10,10587.5,43.4443
11,10584,43.4398
12,10588.5,43.4398
13,10591.4,43.4398
14,10579.2,43.4398
15,10581.6,43.4398
16,10584.9,43.4398
17,10582.7,43.4398
18,10580,43.4398
19,10583.1,43.4398
20,10590.4,43.4487
21,10588.4,43.4398
22,10589.5,43.4398
23,10582.9,43.4398
24,10590.5,43.4398
25,10590.7,43.4398
26,10588,43.4398
27,10584.3,43.4398
28,10587.2,43.4398
29,10592.2,43.4398
30,10594.9,43.4442
31,10589.1,43.4398
32,10592.5,43.4398
33,10592.4,43.4398
34,10593,43.4398
35,10598,43.4398
36,10594.4,43.4398
37,10597.9,43.4398
38,10601.7,43.4398
39,10600.2,43.4398
40,10595.8,43.4442
41,10594.7,43.4398
42,10597.7,43.4398
43,10596.8,43.4398
44,10595.7,43.4398
45,10595.7,43.4398
46,10598.7,43.4398
47,10595.8,43.4398
48,10586.3,43.4398
49,10595.1,43.4398
50,10594.2,43.4487
51,10599.2,43.4398
52,10594.8,43.4398
53,10597.7,43.4398
54,10598.9,43.4398
55,10602.4,43.4398
56,10594.2,43.4398
57,10599.6,43.4398
58,10594.1,43.4398
59,10595.3,43.4398
60,10592.8,43.4531
61,10594.5,43.4398
62,10595.1,43.4398
63,10589.9,43.4398
64,10593.9,43.4398
65,10592.7,43.4398
66,10590.3,43.4398
67,10595.3,43.4398
68,10594.2,43.4398
69,10596.8,43.4398
70,10599.9,43.462
71,10593.1,43.4398
72,10596.2,43.4398
73,10596.3,43.4398
74,10599.9,43.4398
75,10597,43.4398
76,10600.8,43.4398
77,10601.3,43.4398
78,10593.7,43.4398
79,10598.2,43.4398
80,10596.6,43.4665
81,10600.4,43.4398
82,10603.5,43.4398
83,10595.9,43.4398
84,10597.2,43.4398
85,10600,43.4398
86,10598.8,43.4398
87,10600.7,43.4398
88,10598.9,43.4398
89,10601.8,43.4398
90,10596,43.4665
91,10598.3,43.4398
92,10601.6,43.4398
93,10598.7,43.4398
94,10599,43.4398
95,10604.1,43.4398
96,10601.1,43.4398
97,10599.6,43.4398
98,10607.2,43.4398
99,10603.4,43.4398
100,10599.5,43.4709
101,10598.5,43.4398
102,10602.8,43.4398
103,10602.5,43.4398
104,10603.4,43.4398
105,10602.3,43.4398
106,10602.5,43.4398
107,10600.1,43.4398
108,10600.1,43.4398
109,10608.2,43.4398
110,10603.8,43.4754
111,10604.8,43.4398
112,10595.4,43.4398
113,10602.9,43.4398
114,10606,43.4398
115,10602.9,43.4398
116,10602.8,43.4398
117,10599,43.4398
118,10598.3,43.4398
119,10602.7,43.4398
120,10604.8,43.4665
121,10603.6,43.4398
122,10602.9,43.4398
123,10604,43.4398
124,10607.9,43.4398
125,10605,43.4398
126,10604.2,43.4398
127,10601.4,43.4398
128,10604.4,43.4398
129,10603.4,43.4398
130,10603,43.4843
131,10608.2,43.4398
132,10601.9,43.4398
133,10600.9,43.4398
134,10604.7,43.4398
135,10601.4,43.4398
136,10600.5,43.4398
137,10608.3,43.4398
138,10603.6,43.4398
139,10604.3,43.4398
140,10602.4,43.4754
141,10606.7,43.4398
142,10609.6,43.4398
143,10604.3,43.4398
144,10604.4,43.4398
145,10603.4,43.4398
146,10600,43.4398
147,10602.3,43.4398
148,10604.4,43.4398
149,10606.8,43.4398
150,10602.8,43.4754
151,10600.1,43.4398
152,10605.5,43.4398
153,10603.8,43.4398
154,10606.1,43.4398
155,10601.6,43.4398
156,10604.3,43.4398
157,10607.8,43.4398
158,10603.9,43.4398
159,10599.6,43.4398
160,10599.6,43.4798
161,10600.7,43.4398
162,10599.6,43.4398
163,10605.2,43.4398
164,10602.4,43.4398
165,10605.1,43.4398
166,10601.5,43.4398
167,10602,43.4398
168,10603.2,43.4398
169,10601.9,43.4398
170,10601.9,43.4709
171,10601.3,43.4398
172,10599.9,43.4398
173,10602.3,43.4398
174,10602.6,43.4398
175,10604.5,43.4398
176,10608.3,43.4398
177,10604.2,43.4398
178,10599.7,43.4398
179,10600.7,43.4398
180,10604,43.4754
181,10603.2,43.4398
182,10595.9,43.4398
183,10602,43.4398
184,10605.6,43.4398
185,10601.3,43.4398
186,10605.5,43.4398
187,10605.5,43.4398
188,10600,43.4398
189,10602.7,43.4398
190,10606.6,43.4754
191,10604.5,43.4398
192,10601.6,43.4398
193,10605.4,43.4398
194,10600.9,43.4398
195,10601.1,43.4398
196,10604,43.4398
197,10605.1,43.4398
198,10606.1,43.4398
199,10605.6,43.4398
