iteration,loss,s95_area
0,16117,67.5053
1,16119.8,67.5009
2,16119.2,67.5142
3,16131.2,67.5009
4,16113.9,67.5009
5,16114.9,67.5009
6,16122.3,67.5009
7,16116.4,67.5009
8,16119.7,67.5009
9,16119.6,67.5009
10,16116.4,67.4965
11,16121.6,67.4965
12,16131.2,67.4965
13,16124.7,67.4965
14,16120.4,67.4965
15,16120.6,67.4965
16,16126.7,67.4965
17,16118,67.4965
18,16111,67.4965
19,16099.3,67.4965
20,16114.2,67.4475
21,16113.9,67.4475
22,16103.8,67.4475
23,16106,67.4475
24,16110,67.4475
25,16111.1,67.4475
26,16118.5,67.4475
27,16126.8,67.4475
28,16120,67.4475
29,16116.7,67.4475
30,16115.1,67.4653
31,16123.1,67.4475
32,16114,67.4475
33,16120.8,67.4475
34,16129.9,67.4475
35,16122.3,67.4475
36,16108.9,67.4475
37,16111.4,67.4475
38,16123.5,67.4475
39,16113.7,67.4475
40,16112.4,67.4831
41,16116.5,67.4475
42,16114.8,67.4475
43,16120,67.4475
44,16120.8,67.4475
45,16118.2,67.4475
46,16117.7,67.4475
47,16118.7,67.4475
48,16119.3,67.4475
49,16116.7,67.4475
50,16124.6,67.4787
51,16121,67.4475
52,16119.1,67.4475
53,16118.6,67.4475
54,16121.9,67.4475
55,16121.5,67.4475
56,16112.4,67.4475
57,16116.1,67.4475
58,16124.4,67.4475
59,16116.5,67.4475
60,16119.7,67.4787
61,16120.6,67.4475
62,16116.3,67.4475
63,16111.9,67.4475
64,16125,67.4475
65,16116.8,67.4475
66,16128.6,67.4475
67,16117.4,67.4475
68,16122.3,67.4475
69,16123.9,67.4475
70,16126,67.4742
71,16121.4,67.4475
72,16128,67.4475
73,16126.2,67.4475
74,16125.1,67.4475
75,16127.7,67.4475
76,16113.4,67.4475
77,16118.4,67.4475
78,16116.9,67.4475
79,16112.8,67.4475
80,16122.4,67.4787
81,16121.7,67.4475
82,16114.5,67.4475
83,16117.3,67.4475
84,16119.7,67.4475
85,16130.9,67.4475
86,16128.4,67.4475
87,16123.2,67.4475
88,16120.1,67.4475
89,16126.9,67.4475
90,16117,67.4831
91,16132.4,67.4475
92,16134.2,67.4475
93,16119.8,67.4475
94,16124.9,67.4475
95,16117.5,67.4475
96,16121,67.4475
97,16119.9,67.4475
98,16119.7,67.4475
99,16125.8,67.4475
100,16130.6,67.4964
101,16135.3,67.4475
102,16127.1,67.4475
103,16114.6,67.4475
104,16119.4,67.4475
105,16117.5,67.4475
106,16121.9,67.4475
107,16123.3,67.4475
108,16120.6,67.4475
109,16121.3,67.4475
110,16123.3,67.4787
111,16120.3,67.4475
112,16121.5,67.4475
113,16124,67.4475
114,16127.9,67.4475
115,16120.7,67.4475
116,16126.9,67.4475
117,16125,67.4475
118,16124,67.4475
119,16123.6,67.4475
120,16123.1,67.4831
121,16123.1,67.4475
122,16124.5,67.4475
123,16130.4,67.4475
124,16120.6,67.4475
125,16132.1,67.4475
126,16119.7,67.4475
127,16125.3,67.4475
128,16124.6,67.4475
129,16131.8,67.4475
130,16121.5,67.4876
131,16132.8,67.4475
132,16116.9,67.4475
133,16120.2,67.4475
134,16127.4,67.4475
135,16131.8,67.4475
136,16124.3,67.4475
137,16123.2,67.4475
138,16121.9,67.4475
139,16124.8,67.4475
140,16130.8,67.4831
141,16120.1,67.4475
142,16129.5,67.4475
143,16126.6,67.4475
144,16130.2,67.4475
145,16128.7,67.4475
146,16125,67.4475
147,16122,67.4475
148,16123.8,67.4475
149,16133,67.4475
150,16127.4,67.4787
151,16125.3,67.4475
152,16133,67.4475
153,16126.8,67.4475
154,16123.3,67.4475
155,16125,67.4475
156,16135.3,67.4475
157,16126,67.4475
158,16126,67.4475
159,16135.8,67.4475
160,16129.5,67.4787
161,16118.7,67.4475
162,16121.5,67.4475
163,16132.3,67.4475
164,16127.2,67.4475
165,16126.6,67.4475
166,16125.3,67.4475
167,16123.7,67.4475
168,16129.2,67.4475
169,16130.7,67.4475
170,16128.7,67.492
171,16122.7,67.4475
172,16129.7,67.4475
173,16133.2,67.4475
174,16127.3,67.4475
175,16124.8,67.4475
176,16119,67.4475
177,16124.4,67.4475
178,16130.2,67.4475
179,16124.9,67.4475
180,16123.7,67.4742
181,16127.5,67.4475
182,16128.2,67.4475
183,16121.2,67.4475
184,16123.5,67.4475
185,16123.6,67.4475
186,16129.2,67.4475
187,16123.8,67.4475
188,16120.6,67.4475
189,16124.9,67.4475
190,16122.3,67.4831
191,16118.9,67.4475
192,16118.7,67.4475
193,16124.2,67.4475
194,16122.6,67.4475
195,16123.5,67.4475
196,16130.8,67.4475
197,16127.8,67.4475
198,16128.8,67.4475
199,16123.4,67.4475
