iteration,loss,s95_area
0,14113.6,58.7009
1,14108.6,58.7053
2,14115.3,58.692
3,14118.3,58.692
4,14119.2,58.692
5,14136.3,58.692
6,14126,58.692
7,14123.1,58.692
8,14129.8,58.692
9,14118,58.692
10,14129.1,58.6964
11,14126.4,58.692
12,14116.3,58.692
13,14121.5,58.692
14,14120.2,58.692
15,14124.4,58.692
16,14130.9,58.692
17,14129.5,58.692
18,14118.6,58.692
19,14119.4,58.692
20,14119.6,58.7009
21,14113.5,58.692
22,14117.7,58.692
23,14117.9,58.692
24,14115.3,58.692
25,14123.5,58.692
26,14121.6,58.692
27,14115.6,58.692
28,14119.1,58.692
29,14114.7,58.692
30,14118.3,58.7009
31,14122.8,58.692
32,14115,58.692
33,14116.3,58.692
34,14115.3,58.692
35,14109.6,58.692
36,14121.6,58.692
37,14109.6,58.692
38,14110.3,58.692
39,14111.4,58.692
40,14115.7,58.6964
41,14110,58.692
42,14116.9,58.692
43,14116.3,58.692
44,14112.4,58.692
45,14120.1,58.692
46,14123.6,58.692
47,14126.6,58.692
48,14118.9,58.692
49,14124.4,58.692
50,14121.4,58.7098
51,14122.6,58.692
52,14128.2,58.692
53,14120.4,58.692
54,14128,58.692
55,14126.4,58.692
56,14130.7,58.692
57,14128.7,58.692
58,14135.6,58.692
59,14131,58.692
60,14123,58.7142
61,14137.6,58.692
62,14135.4,58.692
63,14128,58.692
64,14130.2,58.692
65,14133.6,58.692
66,14121.4,58.692
67,14126.4,58.692
68,14126.8,58.692
69,14133,58.692
70,14126.4,58.6964
71,14124.1,58.692
72,14130.7,58.692
73,14129.1,58.692
74,14118.2,58.692
75,14125.7,58.692
76,14127.5,58.692
77,14125.8,58.692
78,14128.8,58.692
79,14127.6,58.692
80,14129.7,58.7098
81,14118.9,58.692
82,14123,58.692
83,14124.7,58.692
84,14119.9,58.692
85,14119.6,58.692
86,14130,58.692
87,14134.4,58.692
88,14121.9,58.692
89,14120.6,58.692
90,14120.8,58.6875
91,14125.7,58.6875
92,14127.3,58.6875
93,14127.7,58.6875
94,14120.5,58.6875
95,14119.4,58.6875
96,14126,58.6875
97,14125.5,58.6875
98,14124.5,58.6875
99,14124.8,58.6875
100,14123.3,58.6964
101,14126.9,58.6875
102,14125,58.6875
103,14129.3,58.6875
104,14130.8,58.6875
105,14123.5,58.6875
106,14119.4,58.6875
107,14127.7,58.6875
108,14129.5,58.6875
109,14124.2,58.6875
110,14132.7,58.7053
111,14123.7,58.6875
112,14123,58.6875
113,14130.2,58.6875
114,14116.7,58.6875
115,14133.9,58.6875
116,14124.5,58.6875
117,14129.2,58.6875
118,14126.9,58.6875
119,14126,58.6875
120,14124.4,58.7098
121,14120.6,58.6875
122,14122.4,58.6875
123,14122.6,58.6875
124,14126.3,58.6875
125,14122,58.6875
126,14120.4,58.6875
127,14125.2,58.6875
128,14114.3,58.6875
129,14120.6,58.6875
130,14127,58.6964
131,14118.8,58.6875
132,14126.3,58.6875
133,14127.2,58.6875
134,14120.7,58.6875
135,14126.7,58.6875
136,14126.5,58.6875
137,14115.2,58.6875
138,14120,58.6875
139,14124,58.6875
140,14118.6,58.692
141,14118.7,58.6875
142,14121.8,58.6875
143,14120.9,58.6875
144,14124,58.6875
145,14117.1,58.6875
146,14112,58.6875
147,14118.2,58.6875
148,14121.3,58.6875
149,14116.8,58.6875
150,14121.6,58.6964
151,14120.2,58.6875
152,14125.9,58.6875
153,14123.6,58.6875
154,14121.3,58.6875
155,14120.2,58.6875
156,14117.8,58.6875
157,14122,58.6875
158,14119.3,58.6875
159,14117,58.6875
160,14123.3,58.6964
161,14112.5,58.6875
162,14125.8,58.6875
163,14112.9,58.6875
164,14116.2,58.6875
165,14123.3,58.6875
166,14119,58.6875
167,14117.6,58.6875
168,14120.6,58.6875
169,14120.9,58.6875
170,14116.9,58.692
171,14118.4,58.6875
172,14117.7,58.6875
173,14121.6,58.6875
174,14114.1,58.6875
175,14115.3,58.6875
176,14116.9,58.6875
177,14111.3,58.6875
178,14115.8,58.6875
179,14118.9,58.6875
180,14124.8,58.6964
181,14127.2,58.6875
182,14114.9,58.6875
183,14123.8,58.6875
184,14123.5,58.6875
185,14123.5,58.6875
186,14117.3,58.6875
187,14122.1,58.6875
188,14115.3,58.6875
189,14123.4,58.6875
190,14119.1,58.7009
191,14118.3,58.6875
192,14118.8,58.6875
193,14119.1,58.6875
194,14112.4,58.6875
195,14115,58.6875
196,14112,58.6875
197,14113.8,58.6875
198,14111.2,58.6875
199,14114.4,58.6875
