# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 67.4698 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0159852 0.0327047
1 0.00404395 0.0207634
2 -0.00124124 0.0154782
3 -0.00341721 0.0133023
4 -0.00207358 0.0146459
5 0.00338662 0.0201061
6 0.0147441 0.0314635
7 0.00493678 0.0216563
8 -0.00621889 0.0105006
9 -0.0120425 0.00467694
10 -0.0140017 0.00271777
11 -0.012086 0.00463346
12 -0.0066327 0.0100868
13 0.00412469 0.0208442
14 0.00182832 0.0185478
15 -0.00898995 0.00772953
16 -0.014412 0.00230751
17 -0.0167195 0
18 -0.0143906 0.00232886
19 -0.00921588 0.0075036
20 0.00200361 0.0187231
21 0.00400146 0.0207209
22 -0.00698037 0.00973911
23 -0.012165 0.00455449
24 -0.0140973 0.00262215
25 -0.012138 0.00458147
26 -0.00631493 0.0104046
27 0.00456816 0.0212876
28 0.0150409 0.0317603
29 0.00308858 0.0198081
30 -0.00199339 0.0147261
31 -0.00328931 0.0134302
32 -0.00137974 0.0153397
33 0.00406857 0.0207881
34 0.015931 0.0326505
