# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 78.0218 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0184198 0.0366477
1 0.00611771 0.0243456
2 0.00102377 0.0192516
3 -0.000798929 0.0174289
4 0.000625045 0.0188529
5 0.00527982 0.0235077
6 0.0130985 0.0313263
7 0.00911818 0.0273461
8 -0.00442939 0.0137985
9 -0.0115638 0.00666408
10 -0.0127031 0.00552476
11 -0.0122858 0.00594204
12 -0.00786677 0.0103611
13 -0.000244615 0.0179833
14 0.00535921 0.0235871
15 -0.0075494 0.0106785
16 -0.0147331 0.00349474
17 -0.0182279 0
18 -0.0154786 0.00274932
19 -0.0113966 0.00683128
20 -0.0025872 0.0156407
21 0.00848492 0.0267128
22 -0.00430101 0.0139269
23 -0.0142657 0.0039622
24 -0.0160985 0.00212941
25 -0.0148694 0.00335843
26 -0.00986092 0.00836695
27 -0.00262149 0.0156064
28 0.0183474 0.0365753
29 0.00361022 0.0218381
30 -0.00269728 0.0155306
31 -0.0066346 0.0115933
32 -0.00532021 0.0129077
33 -0.00120544 0.0170224
34 0.00791511 0.026143
