iteration,loss,s95_area
0,45836.4,198.376
1,44440.4,192.391
2,43137.8,186.717
3,41970.4,186.717
4,40857.6,186.717
5,39787.3,186.717
6,38992.1,186.717
7,38129.2,186.717
8,37389.1,186.717
9,36678.6,186.717
10,36044.7,155.465
11,35478.4,155.465
12,34943.6,155.465
13,34418.9,155.465
14,33962.6,155.465
15,33503.1,155.465
16,33050.4,155.465
17,32607.8,155.465
18,32191.6,155.465
19,31794.4,155.465
20,31426.6,134.846
21,31000.3,134.846
22,30626,134.846
23,30268.6,134.846
24,29920,134.846
25,29574.4,134.846
26,29250.7,134.846
27,28942.9,134.846
28,28655.9,134.846
29,28379.7,134.846
30,28083.5,120.163
31,27802.6,120.163
32,27546.5,120.163
33,27281.2,120.163
34,27019,120.163
35,26784.7,120.163
36,26522.5,120.163
37,26259.4,120.163
38,26011.8,120.163
39,25805.2,120.163
40,25591.2,109.171
41,25387.6,109.171
42,25183.3,109.171
43,24963.8,109.171
44,24779,109.171
45,24586.2,109.171
46,24378,109.171
47,24186.9,109.171
48,24000.9,109.171
49,23810.6,109.171
50,23665.4,100.718
51,23512.7,100.718
52,23387.8,100.718
53,23236,100.718
54,23086.7,100.718
55,22953.9,100.718
56,22786.7,100.718
57,22659.3,100.718
58,22537.8,100.718
59,22371.6,100.718
60,22244.3,94.3678
61,22103,94.3678
62,21998.7,94.3678
63,21889.4,94.3678
64,21782.1,94.3678
65,21662.2,94.3678
66,21540.4,94.3678
67,21447.5,94.3678
68,21322.4,94.3678
69,21208.7,94.3678
70,21108.5,89.4231
71,21011.7,89.4231
72,20908.9,89.4231
73,20818.8,89.4231
74,20739.2,89.4231
75,20642.4,89.4231
76,20556.1,89.4231
77,20499.8,89.4231
78,20434.4,89.4231
79,20385,89.4231
80,20319.4,85.8747
81,20260.6,85.8747
82,20196.2,85.8747
83,20136,85.8747
84,20074.5,85.8747
85,20024.3,85.8747
86,19980.8,85.8747
87,19944.8,85.8747
88,19901,85.8747
89,19868,85.8747
90,19808.7,83.6735
91,19795.4,83.6735
92,19752.5,83.6735
93,19696.2,83.6735
94,19659.9,83.6735
95,19631,83.6735
96,19600.7,83.6735
97,19576.9,83.6735
98,19527.7,83.6735
99,19503,83.6735
100,19464.1,82.1216
101,19430.5,82.1216
102,19400.6,82.1216
103,19382.2,82.1216
104,19347.1,82.1216
105,19307.3,82.1216
106,19284.9,82.1216
107,19262.6,82.1216
108,19232.3,82.1216
109,19206.8,82.1216
110,19191,80.8721
111,19142,80.8721
112,19121.9,80.8721
113,19111.2,80.8721
114,19086.4,80.8721
115,19070.9,80.8721
116,19055.6,80.8721
117,19038.6,80.8721
118,19027.2,80.8721
119,19014.8,80.8721
120,18993.4,80.0495
121,19008,80.0495
122,18994.2,80.0495
123,18986,80.0495
124,18966.1,80.0495
125,18960.2,80.0495
126,18943.2,80.0495
127,18929.2,80.0495
128,18904.9,80.0495
129,18885.6,80.0495
130,18877.9,79.4936
131,18868.9,79.4936
132,18847.9,79.4936
133,18836.3,79.4936
134,18820.4,79.4936
135,18823.8,79.4936
136,18809.2,79.4936
137,18796,79.4936
138,18794.3,79.4936
139,18793.2,79.4936
140,18777,79
141,18772.7,79
142,18776.8,79
143,18761.6,79
144,18745.6,79
145,18739.2,79
146,18730.9,79
147,18735.6,79
148,18718.1,79
149,18709,79
150,18698.3,78.6265
151,18698.3,78.6265
152,18698.9,78.6265
153,18710,78.6265
154,18702.2,78.6265
155,18718.3,78.6265
156,18722.9,78.6265
157,18725.2,78.6265
158,18730.3,78.6265
159,18746,78.6265
160,18734.4,78.7911
161,18734.1,78.7911
162,18737.4,78.7911
163,18733.8,78.7911
164,18734.7,78.7911
165,18733.4,78.7911
166,18734.5,78.7911
167,18724.6,78.7911
168,18725.5,78.7911
169,18716.3,78.7911
170,18720.3,78.7688
171,18709.2,78.7688
172,18712.4,78.7688
173,18713.9,78.7688
174,18688.9,78.7688
175,18701.9,78.7688
176,18681.4,78.7688
177,18668.4,78.7688
178,18657.5,78.7688
179,18652.5,78.7688
180,18652.8,78.5287
181,18650.6,78.5287
182,18639.2,78.5287
183,18642.3,78.5287
184,18636.3,78.5287
185,18635.5,78.5287
186,18625.4,78.5287
187,18625.9,78.5287
188,18637.4,78.5287
189,18624.8,78.5287
190,18620.9,78.4175
191,18625.8,78.4175
192,18610.2,78.4175
193,18611.4,78.4175
194,18617,78.4175
195,18610.1,78.4175
196,18614.5,78.4175
197,18616.7,78.4175
198,18618.1,78.4175
199,18622.5,78.4175
200,18625.7,78.4353
201,18635.8,78.4353
202,18635.9,78.4353
203,18642.9,78.4353
204,18651.4,78.4353
205,18651,78.4353
206,18656.6,78.4353
207,18657,78.4353
208,18649.4,78.4353
209,18655.1,78.4353
210,18658.4,78.4753
211,18651.5,78.4753
212,18653.3,78.4753
213,18655.4,78.4753
214,18663,78.4753
215,18650.4,78.4753
216,18651.1,78.4753
217,18643.2,78.4753
218,18650.4,78.4753
219,18647.5,78.4753
220,18637.9,78.3419
221,18637.3,78.3419
222,18622.2,78.3419
223,18622.5,78.3419
224,18625.2,78.3419
225,18617.6,78.3419
226,18625,78.3419
227,18614.4,78.3419
228,18618.2,78.3419
229,18612.9,78.3419
230,18623.4,78.293
231,18620.8,78.293
232,18624.9,78.293
233,18616.3,78.293
234,18625.4,78.293
235,18614.2,78.293
236,18616.1,78.293
237,18608.8,78.293
238,18610.6,78.293
239,18611.9,78.293
240,18606.6,78.2397
241,18608,78.2397
242,18603.2,78.2397
243,18604.6,78.2397
244,18600.2,78.2397
245,18605.8,78.2397
246,18601.1,78.2397
247,18602,78.2397
248,18592.9,78.2397
249,18604.4,78.2397
250,18589.4,78.213
251,18602.7,78.213
252,18598.7,78.213
253,18594.6,78.213
254,18592.6,78.213
255,18587.7,78.213
256,18578.8,78.213
257,18585.3,78.213
258,18573.9,78.213
259,18569.9,78.213
260,18568.8,78.1018
261,18574.5,78.1018
262,18561.8,78.1018
263,18564.8,78.1018
264,18563.2,78.1018
265,18560.3,78.1018
266,18564.2,78.1018
267,18557.8,78.1018
268,18558.6,78.1018
269,18563.6,78.1018
270,18567.4,78.0529
271,18560.8,78.0529
272,18565.8,78.0529
273,18562.1,78.0529
274,18562.5,78.0529
275,18564.8,78.0529
276,18557,78.0529
277,18569.2,78.0529
278,18575.7,78.0529
279,18558.4,78.0529
280,18547.3,78.0396
281,18558.7,78.0396
282,18555.8,78.0396
283,18556.8,78.0396
284,18545.1,78.0396
285,18562.9,78.0396
286,18557.2,78.0396
287,18550,78.0396
288,18555.9,78.0396
289,18552,78.0396
290,18547.4,78.0218
291,18553.1,78.0218
292,18557.7,78.0218
293,18556.3,78.0218
294,18547.6,78.0218
295,18548.4,78.0218
296,18557.7,78.0218
297,18549.9,78.0218
298,18546.9,78.0218
299,18543.6,78.0218
