# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 87.0175 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0215795 0.0384933
1 0.0107196 0.0276333
2 0.00548283 0.0223966
3 0.00456456 0.0214783
4 0.00604803 0.0229618
5 0.00949195 0.0264057
6 0.0159006 0.0328144
7 0.0125269 0.0294406
8 -0.00259569 0.0143181
9 -0.00833449 0.00857927
10 -0.0103953 0.00651849
11 -0.0115383 0.00537549
12 -0.00809087 0.00882289
13 -0.00296789 0.0139459
14 0.00885425 0.025768
15 -0.00463395 0.0122798
16 -0.0117368 0.00517694
17 -0.0161892 0.000724532
18 -0.0163609 0.000552859
19 -0.0122476 0.00466619
20 -0.0100318 0.00688195
21 0.0113961 0.0283098
22 -0.00241761 0.0144962
23 -0.0125753 0.00433847
24 -0.0165733 0.000340447
25 -0.0169138 0
26 -0.0152218 0.00169198
27 -0.015777 0.00113674
28 0.019918 0.0368318
29 0.00237853 0.0192923
30 -0.00313444 0.0137793
31 -0.00746095 0.00945281
32 -0.00866876 0.008245
33 -0.0128765 0.00403722
34 -0.0137871 0.00312665
