iteration,loss,s95_area
0,49397.4,214.38
1,47849.2,207.407
2,46296.6,200.742
3,44940,200.742
4,43611.9,200.742
5,42416.9,200.742
6,41328.9,200.742
7,40385.5,200.742
8,39538.7,200.742
9,38799.9,200.742
10,38189.5,164.995
11,37632.7,164.995
12,37096.8,164.995
13,36560.9,164.995
14,36074,164.995
15,35588.8,164.995
16,35097.3,164.995
17,34599,164.995
18,34137.3,164.995
19,33666.5,164.995
20,33211.4,142.935
21,32784.6,142.935
22,32363.4,142.935
23,31977.4,142.935
24,31591.8,142.935
25,31204.1,142.935
26,30839.5,142.935
27,30531.2,142.935
28,30217.1,142.935
29,29880.2,142.935
30,29591,126.953
31,29325.8,126.953
32,29021.6,126.953
33,28789.7,126.953
34,28516.9,126.953
35,28276.3,126.953
36,28044.7,126.953
37,27813,126.953
38,27597.7,126.953
39,27369.2,126.953
40,27139.5,116.086
41,26938.6,116.086
42,26721.6,116.086
43,26513.2,116.086
44,26340.5,116.086
45,26183.7,116.086
46,26006.5,116.086
47,25844.2,116.086
48,25714.6,116.086
49,25553.6,116.086
50,25418.7,108.415
51,25267.5,108.415
52,25157.4,108.415
53,25033.5,108.415
54,24976.3,108.415
55,24878.2,108.415
56,24799.2,108.415
57,24712.8,108.415
58,24595.3,108.415
59,24509.2,108.415
60,24438.8,104.013
61,24356.7,104.013
62,24282.8,104.013
63,24187,104.013
64,24147.1,104.013
65,24064.8,104.013
66,24032.4,104.013
67,23947,104.013
68,23870.2,104.013
69,23791.5,104.013
70,23711.7,100.936
71,23649.3,100.936
72,23612.4,100.936
73,23536,100.936
74,23479.3,100.936
75,23416.1,100.936
76,23350.9,100.936
77,23289.1,100.936
78,23220,100.936
79,23168.6,100.936
80,23099.9,98.4188
81,23060.3,98.4188
82,23004.8,98.4188
83,22963.2,98.4188
84,22918.8,98.4188
85,22876.1,98.4188
86,22815,98.4188
87,22766.8,98.4188
88,22715.8,98.4188
89,22671.9,98.4188
90,22629,96.1109
91,22586,96.1109
92,22546.1,96.1109
93,22516.9,96.1109
94,22475.3,96.1109
95,22427.7,96.1109
96,22389.9,96.1109
97,22354,96.1109
98,22317.6,96.1109
99,22284.5,96.1109
100,22243.2,94.4079
101,22206.5,94.4079
102,22172.9,94.4079
103,22111,94.4079
104,22053.9,94.4079
105,22003.7,94.4079
106,21965.7,94.4079
107,21935.8,94.4079
108,21883,94.4079
109,21840.2,94.4079
110,21808.5,92.4958
111,21762.3,92.4958
112,21747.5,92.4958
113,21716.5,92.4958
114,21683,92.4958
115,21648.1,92.4958
116,21637.4,92.4958
117,21593,92.4958
118,21577.8,92.4958
119,21535.4,92.4958
120,21500.5,91.184
121,21475.9,91.184
122,21446.6,91.184
123,21431.9,91.184
124,21423.2,91.184
125,21387.2,91.184
126,21372.6,91.184
127,21350.9,91.184
128,21347.6,91.184
129,21342.8,91.184
130,21323.7,90.388
131,21308.8,90.388
132,21295.8,90.388
133,21299.2,90.388
134,21278.3,90.388
135,21242.7,90.388
136,21233,90.388
137,21215.7,90.388
138,21193.5,90.388
139,21176.2,90.388
140,21149.1,89.5432
141,21146.9,89.5432
142,21137.4,89.5432
143,21106.2,89.5432
144,21084.8,89.5432
145,21064.3,89.5432
146,21056.9,89.5432
147,21048.9,89.5432
148,21039,89.5432
149,21020.4,89.5432
150,21012,89.0496
151,21030.1,89.0496
152,21014.8,89.0496
153,21007.6,89.0496
154,20997.5,89.0496
155,20989.4,89.0496
156,20987.6,89.0496
157,20986.3,89.0496
158,20971.3,89.0496
159,20967.8,89.0496
160,20948,88.8495
161,20940.5,88.8495
162,20938.5,88.8495
163,20910.8,88.8495
164,20888.5,88.8495
165,20889.7,88.8495
166,20875.4,88.8495
167,20865.7,88.8495
168,20845.5,88.8495
169,20821.8,88.8495
170,20814.3,88.1425
171,20797,88.1425
172,20790.6,88.1425
173,20781.8,88.1425
174,20769.4,88.1425
175,20764.2,88.1425
176,20736.9,88.1425
177,20734.8,88.1425
178,20725.4,88.1425
179,20725.5,88.1425
180,20718.7,87.7112
181,20723.2,87.7112
182,20722.5,87.7112
183,20740.2,87.7112
184,20745.4,87.7112
185,20732.5,87.7112
186,20731.5,87.7112
187,20743.4,87.7112
188,20736.5,87.7112
189,20746.1,87.7112
190,20740.6,87.7512
191,20742.8,87.7512
192,20739.9,87.7512
193,20730.3,87.7512
194,20734.5,87.7512
195,20742.5,87.7512
196,20719.6,87.7512
197,20715.5,87.7512
198,20722,87.7512
199,20724.2,87.7512
200,20721.6,87.7512
201,20723.7,87.7512
202,20728.2,87.7512
203,20738.8,87.7512
204,20727.7,87.7512
205,20726.2,87.7512
206,20729.1,87.7512
207,20734.1,87.7512
208,20748.8,87.7512
209,20738,87.7512
210,20731.7,87.7334
211,20728.9,87.7334
212,20701.5,87.7334
213,20701.1,87.7334
214,20695.4,87.7334
215,20695.9,87.7334
216,20681.5,87.7334
217,20669.8,87.7334
218,20664.9,87.7334
219,20669.9,87.7334
220,20667.7,87.6044
221,20666.6,87.6044
222,20659.6,87.6044
223,20654.7,87.6044
224,20657.2,87.6044
225,20669.6,87.6044
226,20677.6,87.6044
227,20688,87.6044
228,20677.7,87.6044
229,20663,87.6044
230,20668.5,87.5777
231,20659.6,87.5777
232,20649.8,87.5777
233,20650.9,87.5777
234,20643.1,87.5777
235,20645.7,87.5777
236,20644.3,87.5777
237,20632.2,87.5777
238,20625.6,87.5777
239,20625.6,87.5777
240,20617.3,87.4221
241,20606.2,87.4221
242,20589.5,87.4221
243,20585.2,87.4221
244,20582.4,87.4221
245,20579.4,87.4221
246,20576.4,87.4221
247,20567.8,87.4221
248,20559.9,87.4221
249,20554.1,87.4221
250,20555.6,87.1864
251,20559.1,87.1864
252,20547.8,87.1864
253,20532.1,87.1864
254,20530.3,87.1864
255,20544,87.1864
256,20535.6,87.1864
257,20528.6,87.1864
258,20534,87.1864
259,20526.1,87.1864
260,20515.9,87.0752
261,20521.3,87.0752
262,20516.5,87.0752
263,20509.4,87.0752
264,20518.5,87.0752
265,20521.3,87.0752
266,20514.9,87.0752
267,20524.8,87.0752
268,20519.3,87.0752
269,20506.9,87.0752
270,20519.1,87.053
271,20516.2,87.053
272,20521.1,87.053
273,20521.9,87.053
274,20516.9,87.053
275,20528.1,87.053
276,20523.9,87.053
277,20523.1,87.053
278,20518.9,87.053
279,20532.5,87.053
280,20528.7,87.0308
281,20530.3,87.0308
282,20531.2,87.0308
283,20529.5,87.0308
284,20538.3,87.0308
285,20539.6,87.0308
286,20537.1,87.0308
287,20536.1,87.0308
288,20545.5,87.0308
289,20537.8,87.0308
290,20532.6,87.0175
291,20548.3,87.0175
292,20536,87.0175
293,20536.5,87.0175
294,20525.5,87.0175
295,20533.3,87.0175
296,20531.6,87.0175
297,20545.3,87.0175
298,20535,87.0175
299,20543.8,87.0175
