# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 65.0018 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0361997 0.0363827
1 0.0233663 0.0235492
2 0.0172798 0.0174628
3 0.0151729 0.0153558
4 0.0172676 0.0174505
5 0.022996 0.0231789
6 0.0360856 0.0362685
7 0.0226638 0.0228468
8 0.0115671 0.01175
9 0.00553837 0.0057213
10 0.00350829 0.00369122
11 0.00561996 0.00580289
12 0.0119404 0.0121234
13 0.0237571 0.0239401
14 0.0188377 0.0190206
15 0.00733232 0.00751525
16 0.00187068 0.00205361
17 -0.000182935 0
18 0.002556 0.00273893
19 0.00873168 0.00891461
20 0.020857 0.02104
21 0.0202494 0.0204323
22 0.00947681 0.00965975
23 0.00379738 0.00398032
24 0.00207536 0.00225829
25 0.00493565 0.00511859
26 0.0114076 0.0115905
27 0.0237277 0.0239106
28 0.031318 0.0315009
29 0.0191803 0.0193632
30 0.0136493 0.0138323
31 0.011997 0.01218
32 0.0150611 0.015244
33 0.0220247 0.0222077
34 0.0352719 0.0354549
