iteration,loss,s95_area
0,15674.2,65.5443
1,15638.5,65.3131
2,15589.6,65.2553
3,15550.9,65.2553
4,15583.8,65.2553
5,15589,65.2553
6,15589,65.2553
7,15592,65.2553
8,15581,65.2553
9,15575.9,65.2553
10,15569,65.1219
11,15564.6,65.1219
12,15569.8,65.1219
13,15576,65.1219
14,15577.5,65.1219
15,15574.9,65.1219
16,15578.6,65.1219
17,15586.1,65.1219
18,15575,65.1219
19,15547.4,65.1219
20,15537.2,65.0863
21,15555.8,65.0863
22,15559.6,65.0863
23,15555.1,65.0863
24,15566.9,65.0863
25,15568.7,65.0863
26,15570.4,65.0863
27,15572.5,65.0863
28,15577.1,65.0863
29,15570.5,65.0863
30,15555.6,65.0552
31,15558.8,65.0552
32,15572,65.0552
33,15561.6,65.0552
34,15573.9,65.0552
35,15574.9,65.0552
36,15570.5,65.0552
37,15565.3,65.0552
38,15559.1,65.0552
39,15561.5,65.0552
40,15570.6,65.0374
41,15589,65.0374
42,15600.7,65.0374
43,15597,65.0374
44,15612.4,65.0374
45,15618.5,65.0374
46,15603.7,65.0374
47,15601.4,65.0374
48,15610,65.0374
49,15600.5,65.0374
50,15612.8,65.0152
51,15596.9,65.0152
52,15608,65.0152
53,15598.8,65.0152
54,15604.8,65.0152
55,15606,65.0152
56,15609.2,65.0152
57,15612.4,65.0152
58,15601.4,65.0152
59,15590.1,65.0152
60,15599.1,65.0196
61,15602.3,65.0196
62,15615.5,65.0196
63,15596,65.0196
64,15606.6,65.0196
65,15624.4,65.0196
66,15619.4,65.0196
67,15603.3,65.0196
68,15607.7,65.0196
69,15611.5,65.0196
70,15620.6,65.0463
71,15613.6,65.0463
72,15607.5,65.0463
73,15609.7,65.0463
74,15617,65.0463
75,15606,65.0463
76,15606.3,65.0463
77,15614.9,65.0463
78,15619.3,65.0463
79,15623.3,65.0463
80,15604.5,65.0107
81,15606.9,65.0107
82,15606.8,65.0107
83,15621.6,65.0107
84,15622,65.0107
85,15621.1,65.0107
86,15624.6,65.0107
87,15612.2,65.0107
88,15594.9,65.0107
89,15613,65.0107
90,15599.6,65.033
91,15623.5,65.033
92,15616.8,65.033
93,15602.9,65.033
94,15600.8,65.033
95,15612.4,65.033
96,15626.9,65.033
97,15629.1,65.033
98,15629.2,65.033
99,15612.9,65.033
100,15605.8,65.0018
101,15603.1,65.0018
102,15608,65.0018
103,15608.9,65.0018
104,15613.6,65.0018
105,15608.8,65.0018
106,15615.6,65.0018
107,15605.6,65.0018
108,15606.6,65.0018
109,15603.4,65.0018
110,15622.2,65.0374
111,15616.7,65.0374
112,15614.5,65.0374
113,15612.9,65.0374
114,15623.6,65.0374
115,15629.9,65.0374
116,15611.9,65.0374
117,15617.6,65.0374
118,15605.1,65.0374
119,15616.8,65.0374
