# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 49.7719 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0357203 0.0366011
1 0.0226226 0.0235034
2 0.0170673 0.0179481
3 0.0152896 0.0161705
4 0.0176101 0.0184909
5 0.0247373 0.0256181
6 0.03834 0.0392208
7 0.0234461 0.0243269
8 0.0112582 0.0121391
9 0.0051394 0.00602021
10 0.00300644 0.00388726
11 0.00629128 0.0071721
12 0.0131821 0.014063
13 0.0258338 0.0267147
14 0.0189955 0.0198763
15 0.00731081 0.00819162
16 0.00104542 0.00192624
17 -0.000880816 0
18 0.00185955 0.00274037
19 0.00915292 0.0100337
20 0.0219973 0.0228781
21 0.0205489 0.0214297
22 0.00869185 0.00957267
23 0.00223921 0.00312003
24 0.000614385 0.0014952
25 0.0035169 0.00439772
26 0.0106119 0.0114927
27 0.0233359 0.0242167
28 0.0301648 0.0310456
29 0.0170945 0.0179753
30 0.0115937 0.0124745
31 0.00945503 0.0103358
32 0.0124498 0.0133306
33 0.0193882 0.020269
34 0.0334725 0.0343533
