iteration,loss,s95_area
0,12450.7,50.6346
1,12278.1,50.4522
2,12231.6,50.3455
3,12199.3,50.3455
4,12159,50.3455
5,12129.6,50.3455
6,12154.9,50.3455
7,12171.3,50.3455
8,12165.7,50.3455
9,12172.1,50.3455
10,12169.1,50.1632
11,12170.5,50.1632
12,12188.3,50.1632
13,12157.3,50.1632
14,12173.3,50.1632
15,12157.3,50.1632
16,12157.2,50.1632
17,12148.4,50.1632
18,12154,50.1632
19,12165,50.1632
20,12169.6,50.1187
21,12158.2,50.1187
22,12141.3,50.1187
23,12162.2,50.1187
24,12167.4,50.1187
25,12186.2,50.1187
26,12181.2,50.1187
27,12172.3,50.1187
28,12178.3,50.1187
29,12170.4,50.1187
30,12172.7,50.0876
31,12177.6,50.0876
32,12182,50.0876
33,12170.1,50.0876
34,12173.5,50.0876
35,12158.1,50.0876
36,12161.1,50.0876
37,12149.1,50.0876
38,12161.4,50.0876
39,12142.8,50.0876
40,12138.1,49.9765
41,12135.4,49.9765
42,12133.1,49.9765
43,12136.9,49.9765
44,12158,49.9765
45,12168.8,49.9765
46,12166.1,49.9765
47,12139.7,49.9765
48,12132.6,49.9765
49,12137.2,49.9765
50,12160,49.9809
51,12165.7,49.9809
52,12136.9,49.9809
53,12131,49.9809
54,12126.1,49.9809
55,12126.4,49.9809
56,12135.7,49.9809
57,12139,49.9809
58,12132.4,49.9809
59,12127.7,49.9809
60,12137.5,49.8964
61,12126.3,49.8964
62,12124.7,49.8964
63,12107.1,49.8964
64,12124.2,49.8964
65,12133.2,49.8964
66,12136.8,49.8964
67,12140.9,49.8964
68,12132.6,49.8964
69,12138.2,49.8964
70,12136.4,49.8697
71,12132.3,49.8697
72,12140.9,49.8697
73,12151.4,49.8697
74,12150.1,49.8697
75,12156.2,49.8697
76,12154.5,49.8697
77,12136.6,49.8697
78,12129.4,49.8697
79,12121.7,49.8697
80,12129.5,49.8119
81,12116.2,49.8119
82,12124.5,49.8119
83,12137.3,49.8119
84,12124,49.8119
85,12122,49.8119
86,12128.4,49.8119
87,12122.3,49.8119
88,12118.2,49.8119
89,12113.5,49.8119
90,12110.2,49.8119
91,12118.5,49.8119
92,12128.8,49.8119
93,12123.8,49.8119
94,12112.4,49.8119
95,12108.9,49.8119
96,12106.3,49.8119
97,12106.6,49.8119
98,12105.4,49.8119
99,12113,49.8119
100,12124,49.7719
101,12117,49.7719
102,12127,49.7719
103,12114.4,49.7719
104,12118.7,49.7719
105,12123.1,49.7719
106,12120.5,49.7719
107,12113.4,49.7719
108,12113.8,49.7719
109,12106.9,49.7719
110,12109.8,49.7986
111,12113.4,49.7986
112,12116.7,49.7986
113,12100,49.7986
114,12104.3,49.7986
115,12102.5,49.7986
116,12113.3,49.7986
117,12107.6,49.7986
118,12118.7,49.7986
119,12119.6,49.7986
120,12109.3,49.7897
121,12110.1,49.7897
122,12107.4,49.7897
123,12108.2,49.7897
124,12104.4,49.7897
125,12119.5,49.7897
126,12109.8,49.7897
127,12115,49.7897
128,12113.9,49.7897
129,12098.6,49.7897
130,12121.3,49.7941
131,12112.2,49.7941
132,12115.3,49.7941
133,12116.2,49.7941
134,12125.8,49.7941
135,12116.3,49.7941
136,12117.1,49.7941
137,12104.2,49.7941
138,12094.8,49.7941
139,12119.6,49.7941
140,12124.1,49.8297
141,12111.7,49.8297
142,12106.6,49.8297
143,12100.6,49.8297
144,12103.2,49.8297
145,12101.2,49.8297
146,12116.3,49.8297
147,12127.9,49.8297
148,12104.1,49.8297
149,12107.4,49.8297
150,12099.8,49.8119
151,12113.4,49.8119
152,12117.4,49.8119
153,12122.7,49.8119
154,12109.1,49.8119
155,12110.5,49.8119
156,12114.3,49.8119
157,12117.4,49.8119
158,12132.5,49.8119
159,12121.4,49.8119
160,12102.2,49.7986
161,12118.7,49.7986
162,12117.3,49.7986
163,12110.3,49.7986
164,12113.4,49.7986
165,12107.7,49.7986
166,12124,49.7986
167,12117.1,49.7986
168,12117.2,49.7986
169,12108.4,49.7986
170,12111.8,49.8164
171,12116.8,49.8164
172,12115.9,49.8164
173,12114.2,49.8164
174,12108.1,49.8164
175,12108.8,49.8164
176,12111.2,49.8164
177,12110.1,49.8164
178,12120.1,49.8164
179,12119.9,49.8164
180,12112.8,49.8075
181,12113.2,49.8075
182,12121,49.8075
183,12126,49.8075
184,12125.5,49.8075
185,12111.3,49.8075
186,12100.2,49.8075
187,12111,49.8075
188,12108,49.8075
189,12119.2,49.8075
190,12126.9,49.7986
191,12116.9,49.7986
192,12123.9,49.7986
193,12121.6,49.7986
194,12120.2,49.7986
195,12123.7,49.7986
196,12108.5,49.7986
197,12115.9,49.7986
198,12120.8,49.7986
199,12113.2,49.7986
