# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 73.0726 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0323096 0.032498
1 0.0212216 0.0214099
2 0.0165287 0.016717
3 0.0148408 0.0150292
4 0.0174014 0.0175898
5 0.0233075 0.0234959
6 0.0348572 0.0350456
7 0.0196127 0.0198011
8 0.00972675 0.0099151
9 0.00460038 0.00478873
10 0.00299805 0.00318641
11 0.0052666 0.00545496
12 0.0112361 0.0114244
13 0.0220307 0.0222191
14 0.0167003 0.0168887
15 0.00652997 0.00671833
16 0.00143766 0.00162601
17 -0.000188353 0
18 0.00210258 0.00229093
19 0.00779152 0.00797987
20 0.0186795 0.0188679
21 0.0193406 0.019529
22 0.00926537 0.00945372
23 0.00415792 0.00434627
24 0.00262211 0.00281046
25 0.00493788 0.00512624
26 0.0108923 0.0110807
27 0.0218117 0.022
28 0.0324742 0.0326625
29 0.021022 0.0212104
30 0.0159515 0.0161399
31 0.0140589 0.0142472
32 0.0164427 0.0166311
33 0.0220229 0.0222112
34 0.0338519 0.0340403
