iteration,loss,s95_area
0,17474.3,73.4417
1,17510.6,73.3083
2,17459.3,73.2816
3,17470.5,73.2816
4,17457.6,73.2816
5,17429.4,73.2816
6,17429.9,73.2816
7,17431.9,73.2816
8,17462.9,73.2816
9,17450.6,73.2816
10,17463.6,73.2016
11,17463.8,73.2016
12,17444.2,73.2016
13,17435.3,73.2016
14,17440.9,73.2016
15,17436.4,73.2016
16,17432.8,73.2016
17,17420.5,73.2016
18,17422.3,73.2016
19,17428.6,73.2016
20,17419,73.1527
21,17442.2,73.1527
22,17443.1,73.1527
23,17441.5,73.1527
24,17439.1,73.1527
25,17426.5,73.1527
26,17427,73.1527
27,17436.8,73.1527
28,17436.1,73.1527
29,17419.1,73.1527
30,17429.6,73.1304
31,17454.4,73.1304
32,17439.3,73.1304
33,17441.6,73.1304
34,17445.4,73.1304
35,17423.6,73.1304
36,17430,73.1304
37,17439.2,73.1304
38,17439.5,73.1304
39,17438.8,73.1304
40,17432.9,73.0948
41,17432.7,73.0948
42,17421.1,73.0948
43,17418.3,73.0948
44,17419.2,73.0948
45,17432.3,73.0948
46,17425.9,73.0948
47,17441.8,73.0948
48,17450.1,73.0948
49,17430.7,73.0948
50,17429.5,73.0904
51,17416.2,73.0904
52,17407.3,73.0904
53,17415,73.0904
54,17415.3,73.0904
55,17417.4,73.0904
56,17416.6,73.0904
57,17428.9,73.0904
58,17404.5,73.0904
59,17405.2,73.0904
60,17423.2,73.0726
61,17418.8,73.0726
62,17421.4,73.0726
63,17417.6,73.0726
64,17422.1,73.0726
65,17417.6,73.0726
66,17438.1,73.0726
67,17422.4,73.0726
68,17440.1,73.0726
69,17438.5,73.0726
70,17419.5,73.0993
71,17437.4,73.0993
72,17448.7,73.0993
73,17434.3,73.0993
74,17435.4,73.0993
75,17437.9,73.0993
76,17447.9,73.0993
77,17443,73.0993
78,17435.8,73.0993
79,17428.4,73.0993
80,17429.1,73.0815
81,17437.5,73.0815
82,17428.6,73.0815
83,17434.8,73.0815
84,17405.4,73.0815
85,17428.7,73.0815
86,17432.6,73.0815
87,17433.7,73.0815
88,17441,73.0815
89,17410.6,73.0815
90,17408.7,73.0904
91,17417.2,73.0904
92,17422.5,73.0904
93,17447.3,73.0904
94,17433.7,73.0904
95,17422.8,73.0904
96,17426,73.0904
97,17432.1,73.0904
98,17425.1,73.0904
99,17419.9,73.0904
100,17421.8,73.1126
101,17421.8,73.1126
102,17416.3,73.1126
103,17426.5,73.1126
104,17427.3,73.1126
105,17417.3,73.1126
106,17413.6,73.1126
107,17417.5,73.1126
108,17445.1,73.1126
109,17445.6,73.1126
110,17424.9,73.0904
111,17422.4,73.0904
112,17436.6,73.0904
113,17439.4,73.0904
114,17447.6,73.0904
115,17429.1,73.0904
116,17436.7,73.0904
117,17430.7,73.0904
118,17436.4,73.0904
119,17441.7,73.0904
