# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 64.6817 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0325894 0.033339
1 0.0203454 0.021095
2 0.0145558 0.0153054
3 0.0126116 0.0133612
4 0.0156474 0.016397
5 0.0222645 0.0230141
6 0.0355183 0.0362679
7 0.0215392 0.0222888
8 0.0101098 0.0108594
9 0.00406999 0.00481959
10 0.00195052 0.00270011
11 0.00448851 0.0052381
12 0.0111172 0.0118668
13 0.0233996 0.0241492
14 0.0194093 0.0201589
15 0.00746009 0.00820968
16 0.00154849 0.00229809
17 -0.000749594 0
18 0.0019718 0.00272139
19 0.0083645 0.0091141
20 0.0203962 0.0211458
21 0.0225116 0.0232612
22 0.0107947 0.0115443
23 0.0047014 0.00545099
24 0.00240343 0.00315302
25 0.00482612 0.00557571
26 0.0113858 0.0121354
27 0.0227725 0.0235221
28 0.0347949 0.0355445
29 0.0221675 0.0229171
30 0.0159198 0.0166694
31 0.0135281 0.0142777
32 0.0155223 0.0162719
33 0.0218001 0.0225497
34 0.0344527 0.0352023
