iteration,loss,s95_area
0,15691.3,65.491
1,15668.8,65.1575
2,15601.2,64.8907
3,15534.4,64.8907
4,15496.1,64.8907
5,15503.7,64.8907
6,15499.1,64.8907
7,15507.9,64.8907
8,15513,64.8907
9,15503.7,64.8907
10,15502.6,64.8329
11,15512.5,64.8329
12,15490.3,64.8329
13,15502.8,64.8329
14,15484.8,64.8329
15,15499.7,64.8329
16,15488.9,64.8329
17,15491.2,64.8329
18,15484.1,64.8329
19,15478,64.8329
20,15477.1,64.7173
21,15476.7,64.7173
22,15457.3,64.7173
23,15459.2,64.7173
24,15466.8,64.7173
25,15473.8,64.7173
26,15464.8,64.7173
27,15476,64.7173
28,15488.5,64.7173
29,15482.8,64.7173
30,15486.8,64.7262
31,15493.2,64.7262
32,15493,64.7262
33,15476.9,64.7262
34,15481.4,64.7262
35,15488,64.7262
36,15497,64.7262
37,15498.6,64.7262
38,15495.1,64.7262
39,15492.9,64.7262
40,15491,64.7039
41,15485.5,64.7039
42,15507.2,64.7039
43,15502,64.7039
44,15511.1,64.7039
45,15519.9,64.7039
46,15523.8,64.7039
47,15508.8,64.7039
48,15516.2,64.7039
49,15504.5,64.7039
50,15499.3,64.6995
51,15498.8,64.6995
52,15504,64.6995
53,15518.8,64.6995
54,15508,64.6995
55,15508.1,64.6995
56,15512.9,64.6995
57,15508.1,64.6995
58,15508.7,64.6995
59,15505.9,64.6995
60,15499,64.6906
61,15493.8,64.6906
62,15511.2,64.6906
63,15500.9,64.6906
64,15495.7,64.6906
65,15502.2,64.6906
66,15504.7,64.6906
67,15500.7,64.6906
68,15503.8,64.6906
69,15515,64.6906
70,15506.8,64.6861
71,15503.8,64.6861
72,15498.3,64.6861
73,15506.6,64.6861
74,15516.5,64.6861
75,15506,64.6861
76,15506.9,64.6861
77,15494.9,64.6861
78,15500.1,64.6861
79,15497,64.6861
80,15489.9,64.6817
81,15498.7,64.6817
82,15509.5,64.6817
83,15513.5,64.6817
84,15516.3,64.6817
85,15517,64.6817
86,15507.7,64.6817
87,15508.2,64.6817
88,15494.9,64.6817
89,15499.4,64.6817
90,15500.7,64.6995
91,15512.1,64.6995
92,15518.6,64.6995
93,15515.2,64.6995
94,15516.6,64.6995
95,15510.6,64.6995
96,15512,64.6995
97,15511.5,64.6995
98,15513.5,64.6995
99,15518.1,64.6995
100,15513.1,64.6995
101,15507.9,64.6995
102,15508.4,64.6995
103,15503,64.6995
104,15500.4,64.6995
105,15516,64.6995
106,15514,64.6995
107,15517.1,64.6995
108,15504.7,64.6995
109,15495,64.6995
110,15514.9,64.6861
111,15511.8,64.6861
112,15485.4,64.6861
113,15487.5,64.6861
114,15498.2,64.6861
115,15507.9,64.6861
116,15499.8,64.6861
117,15491.7,64.6861
118,15502,64.6861
119,15497.6,64.6861
